est,err,est_card,true_card,query_dur_ms
CardEst,1.1841399013072462,13678,11551,30.066251754760742
CardEst,1.525279362350551,191955,292785,20.78104019165039
CardEst,1.0671636835592044,176781,165655,21.320104598999023
CardEst,1.3108921029054141,54691,71694,36.42439842224121
CardEst,1.1051382274412649,1194770,1320386,32.701969146728516
CardEst,1.1385624904623837,39318,44766,21.35157585144043
CardEst,1.8659440352395826,442457,825600,32.6383113861084
CardEst,1.3351337015307312,279017,372525,29.476642608642578
CardEst,1.0007464813205909,1439824,1438750,20.938396453857422
CardEst,1.1136961388530844,766508,853657,32.69028663635254
CardEst,1.0299356246051579,891179,917857,28.985261917114258
CardEst,1.3926227505903428,184215,256542,28.975725173950195
CardEst,1.2977209744798777,870372,1129500,25.14791488647461
CardEst,1.0386959278568408,56776,58973,21.240234375
CardEst,8.217391304347826,23,189,32.28449821472168
CardEst,1.1853483816069814,151601,179700,28.291940689086914
CardEst,1.5011572752826183,604437,907355,17.59934425354004
CardEst,1.273168757588021,4942,6292,21.394014358520508
CardEst,1.002375296912114,1684,1688,25.170087814331055
CardEst,1.0823665893271461,933,862,32.709598541259766
