est,err,est_card,true_card,query_dur_ms
psample_2000,1.4696563068132629,16976,11551,27.524471282958984
psample_2000,1.4619221666317146,200274,292785,19.008636474609375
psample_2000,1.5108267181793487,250276,165655,19.52219009399414
psample_2000,1.1977746591820368,59856,71694,33.65516662597656
psample_2000,1.3244241692921719,996951,1320386,30.286073684692383
psample_2000,1.2230813365755033,36601,44766,19.811391830444336
psample_2000,1.6573920165739202,498132,825600,30.3342342376709
psample_2000,1.2386163007590796,300759,372525,26.677846908569336
psample_2000,1.125340052128584,1619083,1438750,19.286632537841797
psample_2000,1.2023778335544681,709974,853657,29.9227237701416
psample_2000,1.2826110651522604,715616,917857,26.653051376342773
psample_2000,1.2432432432432432,206349,256542,26.674509048461914
psample_2000,1.2457221383407797,906703,1129500,23.07415008544922
psample_2000,1.2655693377398172,46598,58973,19.370555877685547
psample_2000,3.15,60,189,29.76369857788086
psample_2000,1.3157605711147722,136575,179700,25.988101959228516
psample_2000,1.3814005605652544,656837,907355,16.13759994506836
psample_2000,1.862640615748964,3378,6292,19.6073055267334
psample_2000,1.6964824120603015,995,1688,23.198843002319336
psample_2000,1.3723897911832947,1183,862,30.161619186401367
psample_2000,1.0651705576424753,175522,164783,19.452333450317383
psample_2000,1.459046034925553,3687787,5380651,22.916316986083984
psample_2000,1.1808510638297873,111,94,37.32419013977051
psample_2000,3.0125156445556946,2407,799,33.66684913635254
psample_2000,1.0669180018850142,3183,3396,22.744417190551758
psample_2000,1.6199628022318662,1613,2613,30.1511287689209
psample_2000,1.1962616822429906,256,214,37.111759185791016
psample_2000,1.867931688804554,2635,4922,19.576549530029297
psample_2000,1.3865968658993204,28844,39995,33.62703323364258
psample_2000,1.1053262922773588,362635,400830,29.799938201904297
psample_2000,1.5305184608341071,467422,715398,19.38652992248535
psample_2000,1.6136680613668062,2314,1434,19.378662109375
psample_2000,1.1505035375274264,2800685,3222198,26.597023010253906
psample_2000,1.615606936416185,346,559,33.675193786621094
psample_2000,1.6498329730791903,5089,8396,23.157358169555664
psample_2000,1.6724137931034482,58,97,37.138938903808594
psample_2000,1.3852589115798564,1500744,2078919,18.98479461669922
psample_2000,1.2809427630723378,3098891,3969502,15.877723693847656
psample_2000,1.3434513812756097,4115616,5529130,15.81430435180664
psample_2000,1.1765157329240215,3909,4599,26.63707733154297
psample_2000,1.5454545454545454,51,33,37.12916374206543
psample_2000,1.0666666666666667,15,16,37.15705871582031
psample_2000,1.7731638612752614,232172,411679,26.67522430419922
psample_2000,1.1800741109686352,849267,1002198,33.618927001953125
psample_2000,1.1176470588235294,19,17,37.14251518249512
psample_2000,1.0209767289413307,6230,6102,26.387453079223633
psample_2000,1.223950914289935,189546,231995,23.174524307250977
psample_2000,1.7561674008810573,4540,7973,26.708602905273438
psample_2000,4.0,10,40,36.684274673461914
psample_2000,1.4119821346064994,6493,9168,30.077457427978516
psample_2000,1.1058722890353747,21977,19873,26.657581329345703
psample_2000,1.1,30,33,19.182443618774414
psample_2000,10.325214899713467,698,7207,26.71980857849121
psample_2000,1.4513468493063963,505476,733621,26.631593704223633
psample_2000,2.3710544774374562,30423,12831,22.9489803314209
psample_2000,1.1247535551102599,3656497,4112658,26.463747024536133
psample_2000,1.4072852645780243,6671,9388,22.50075340270996
psample_2000,1.1301843212437268,1528310,1727272,26.256561279296875
psample_2000,1.3556350626118068,139750,189450,35.196781158447266
psample_2000,1.2083333333333333,29,24,19.531965255737305
psample_2000,1.1293363085439758,82011,92618,33.269643783569336
psample_2000,2.6481920569057498,8935,3374,26.602745056152344
psample_2000,4.674666110183639,14376,67203,15.905618667602539
psample_2000,1.2120230516542905,1226810,1486922,19.14501190185547
psample_2000,1.3067102749797304,145538,190176,26.224374771118164
psample_2000,1.1034719605542218,1857740,2049964,26.28612518310547
psample_2000,1.0252061553360368,479129,491206,15.945911407470703
psample_2000,3.5991811476434554,159980,575797,26.612520217895508
psample_2000,1.5297587131367292,2853,1865,19.362211227416992
psample_2000,1.6666666666666667,75,125,37.126779556274414
psample_2000,1.0435203278253116,52711,55005,29.89673614501953
psample_2000,1.1865671641791045,159,134,33.684730529785156
psample_2000,1.096681228700167,87442,95896,33.62417221069336
psample_2000,1.243197552729029,472036,586834,26.418685913085938
psample_2000,1.0781303560963202,271303,292500,19.1195011138916
psample_2000,1.1986418887895411,82762,99202,33.25676918029785
psample_2000,1.1337092511013216,368875,418197,33.66661071777344
psample_2000,1.1095660893594612,951371,1055609,22.72653579711914
psample_2000,1.136700516225976,206305,234507,25.984764099121094
psample_2000,1.368930748374887,2399987,3285416,30.101299285888672
psample_2000,4.836222810819488,120509,24918,22.769689559936523
psample_2000,1.0983044339532082,377574,343779,18.948793411254883
psample_2000,1.4070982554771152,93206,131150,34.03830528259277
psample_2000,1.124416796267496,3215,3615,30.173301696777344
psample_2000,1.6402640264026402,2485,1515,37.353515625
psample_2000,1.4193183531895641,18823,13262,33.406734466552734
psample_2000,1.003295978905735,3034,3044,33.67280960083008
psample_2000,1.4779216173080334,5639,8334,26.631832122802734
psample_2000,1.1913338553391024,5104669,6081365,19.009828567504883
psample_2000,4.203571428571428,280,1177,30.134916305541992
psample_2000,1.034833091436865,1378,1426,37.101030349731445
psample_2000,1.17286226345045,2698906,3165445,19.52362060546875
psample_2000,1.276664597925348,180464,230392,30.145883560180664
psample_2000,1.3209284089281648,1687881,1277799,26.685237884521484
psample_2000,1.6963555107949897,15887,26950,29.670000076293945
psample_2000,1.2537640824560656,1407780,1765024,15.84935188293457
psample_2000,1.2264308046026409,186154,228305,30.16042709350586
psample_2000,1.1153846153846154,156,174,37.093162536621094
psample_2000,2.7777777777777777,9,25,37.5521183013916
psample_2000,1.1524605503266478,2361870,2721962,18.92828941345215
psample_2000,1.3608600076960162,2260910,3076782,23.158788681030273
psample_2000,1.4877621536299677,103899,154577,33.6306095123291
psample_2000,1.1559542530598923,2598294,3003509,15.969514846801758
psample_2000,1.4285714285714286,30,21,37.16778755187988
psample_2000,1.4557427258805513,3265,4753,33.6604118347168
psample_2000,1.255641243526639,311855,391578,33.64992141723633
psample_2000,1.1940928270042195,283,237,33.6153507232666
psample_2000,1.3314445298903146,148242,197376,26.36861801147461
psample_2000,1.159680638722555,16533,19173,27.010440826416016
psample_2000,1.2128293284973048,158808,192607,33.86569023132324
psample_2000,1.1128437601326817,965317,1074247,19.351482391357422
psample_2000,2.3166023166023164,259,600,30.06768226623535
psample_2000,1.207591054313099,39125,47247,37.16588020324707
psample_2000,1.2238375248778723,773780,946981,26.58224105834961
psample_2000,1.0191997965584472,23594,24047,33.62298011779785
psample_2000,1.7915129855264162,314504,563438,19.617795944213867
psample_2000,1.7205613296270856,311546,536034,33.63919258117676
psample_2000,1.3884487973498487,6943,9640,19.541501998901367
psample_2000,1.045635249296008,181110,189375,29.990434646606445
psample_2000,1.5256216513257315,7279,11105,33.22100639343262
psample_2000,1.0555502828290497,316092,333651,29.883623123168945
psample_2000,1.3950531571785008,2925381,4081062,19.404172897338867
psample_2000,1.2156862745098038,51,62,37.168264389038086
psample_2000,1.2827194273766855,374976,480989,26.21626853942871
psample_2000,13.1,10,131,29.888391494750977
psample_2000,1.0,1,1,37.125349044799805
psample_2000,1.3661464585834333,833,1138,30.131101608276367
psample_2000,1.57351101020395,77519,121977,23.023366928100586
psample_2000,3.451136876976359,39846,137514,30.12990951538086
psample_2000,1.5165768909794402,13181,19990,26.036500930786133
psample_2000,1.3185127995519021,66057,87097,37.11438179016113
psample_2000,1.138073215479229,1114655,1268559,22.501707077026367
psample_2000,1.1706730769230769,832,974,30.13300895690918
psample_2000,1.2428053216256256,203171,252502,33.63776206970215
psample_2000,1.238251544311274,975192,1207533,23.212194442749023
psample_2000,1.25,4,5,22.782564163208008
psample_2000,1.2737645706780496,207094,263789,22.863388061523438
psample_2000,1.1854774941229138,1405033,1665635,26.358366012573242
psample_2000,1.7692307692307692,13,23,33.65778923034668
psample_2000,1.3368374836390144,120714,161375,33.66494178771973
psample_2000,1.0267462422634837,4524,4645,22.71103858947754
psample_2000,1.2263654006099252,86568,106164,37.123680114746094
psample_2000,1.1093052899936264,15690,17405,33.64849090576172
psample_2000,1.0062143310082434,7885,7934,29.86431121826172
psample_2000,1.0076403383039538,240425,238602,19.660234451293945
psample_2000,1.368421052631579,76,104,23.078441619873047
psample_2000,1.3490712407878291,92812,125210,22.72772789001465
psample_2000,1.346899596851603,20836,28064,33.681392669677734
psample_2000,1.034219226310592,69873,72264,26.355981826782227
psample_2000,2.9918610770040344,85283,28505,19.31452751159668
psample_2000,2.0,2,4,37.13417053222656
psample_2000,1.3133345353116481,94289,123833,36.748647689819336
psample_2000,1.3196769325250148,3385299,4467501,23.20551872253418
psample_2000,2.8416370106761564,1124,3194,22.874832153320312
psample_2000,1.249122807017544,356,285,37.320852279663086
psample_2000,1.3263525305410122,4584,6080,26.241064071655273
psample_2000,1.1903787077205685,1955413,2327682,29.48307991027832
psample_2000,1.3590736897972688,1190789,1618370,19.005298614501953
psample_2000,1.345945945945946,370,498,19.278287887573242
psample_2000,1.5555555555555556,18,28,37.12010383605957
psample_2000,3.511449056042075,141543,40309,18.93448829650879
psample_2000,1.0827156599905379,13731,12682,30.139684677124023
psample_2000,1.3414125080258217,546673,733314,33.65755081176758
psample_2000,1.707204433497537,5545,3248,37.35995292663574
psample_2000,1.2469703301295445,2393,2984,19.392728805541992
psample_2000,1.2090075249252386,421269,348442,19.35124397277832
psample_2000,1.0496042851554273,523191,498465,15.829086303710938
psample_2000,1.2801631611227362,443488,567737,26.370525360107422
psample_2000,1.3254983484038823,78409,103931,26.632308959960938
psample_2000,1.0179094757408012,3126,3071,33.59794616699219
psample_2000,1.3649384771467963,192205,262348,30.13157844543457
psample_2000,1.035545211606017,261179,252214,25.981664657592773
psample_2000,6.539938788880306,204538,1337666,26.20387077331543
psample_2000,1.3014354066985645,209,272,37.13345527648926
psample_2000,1.7472952086553324,1294,2261,29.76059913635254
psample_2000,1.4218788392977186,306695,215697,19.336700439453125
psample_2000,2.038623595505618,2848,5806,16.138553619384766
psample_2000,1.2878459721372362,351365,452504,26.371002197265625
psample_2000,1.0147215706196118,669290,679143,33.39219093322754
psample_2000,1.0964421570821212,4469,4900,26.653766632080078
psample_2000,1.2645314353499406,1686,2132,16.12710952758789
psample_2000,2.60165139343683,84898,220875,22.762537002563477
psample_2000,1.0467836257309941,1790,1710,37.160634994506836
psample_2000,1.1739910313901345,14495,17017,30.0447940826416
psample_2000,1.3127461792973059,12694,16664,33.41794013977051
psample_2000,1.0886618102188792,590006,642317,23.1325626373291
psample_2000,1.110501739033217,652949,725101,26.3974666595459
psample_2000,1.2704450975428092,272547,346256,22.81355857849121
psample_2000,1.1080964685615848,2573,2322,30.049800872802734
psample_2000,1.1388233335749707,372459,424165,36.70239448547363
psample_2000,1.0994821748655645,10042,11041,30.5633544921875
psample_2000,2.3170644093209223,64028,148357,23.065805435180664
psample_2000,1.4925149377350169,483842,324179,19.205331802368164
psample_2000,1.0792280345352971,2125,1969,33.70022773742676
psample_2000,1.4420035149384887,2276,3282,33.28132629394531
psample_2000,2.230769230769231,26,58,37.16468811035156
psample_2000,6.872246696035242,227,1560,26.635408401489258
psample_2000,1.1438145501304942,708461,810348,23.177385330200195
psample_2000,1.1862917398945518,675,569,29.72698211669922
psample_2000,1.4296074635244271,2834157,4051732,22.735595703125
psample_2000,1.7143005979344084,220760,378449,16.155481338500977
psample_2000,1.8084507042253521,355,642,26.628494262695312
psample_2000,1.1327883014812785,94918,107522,19.359827041625977
psample_2000,1.125607411264502,2567659,2890176,15.81430435180664
psample_2000,1.4990898560317722,12086,18118,37.11104393005371
psample_2000,1.3525179856115108,139,188,30.11775016784668
psample_2000,1.1293706293706294,286,323,37.134408950805664
psample_2000,1.3427991886409736,662,493,33.67781639099121
psample_2000,1.354366481574962,18781,13867,22.998332977294922
psample_2000,1.2189047572053593,1296872,1063965,22.71580696105957
psample_2000,1.675050527734112,22377,13359,26.30448341369629
psample_2000,1.3380984042553192,3008,4025,23.13852310180664
psample_2000,1.0581717451523547,361,382,26.385784149169922
psample_2000,1.4964103532968072,95274,142569,30.146121978759766
psample_2000,1.6946167083346861,61598,104385,30.07960319519043
psample_2000,1.2841379310344827,725,931,26.623010635375977
psample_2000,1.2652351896192169,12947,16381,30.1210880279541
psample_2000,1.7,10,17,37.11867332458496
psample_2000,2.0,7,14,29.729604721069336
psample_2000,1.4176625355456534,2709192,3840720,16.184091567993164
psample_2000,1.3726080161094882,170831,234484,26.572465896606445
psample_2000,1.101391454254402,487260,536664,33.843278884887695
psample_2000,1.2921123675238726,324115,418793,26.617050170898438
psample_2000,1.297507750435962,82576,107143,37.12749481201172
psample_2000,3.5098039215686274,204,716,19.152164459228516
psample_2000,2.3372093023255816,172,402,36.70549392700195
psample_2000,1.6975986957858025,224503,381116,26.539325714111328
psample_2000,1.2587152106654145,4957482,6240058,19.327640533447266
psample_2000,1.8571428571428572,7,13,26.196002960205078
psample_2000,1.625703286941072,16470,10131,26.357650756835938
psample_2000,1.0043500700435006,95354,94941,30.029296875
psample_2000,1.0,1,1,37.02569007873535
psample_2000,1.1162109721571392,1380713,1541167,22.851943969726562
psample_2000,1.7093804330646436,50616,86522,16.034364700317383
psample_2000,1.1503918022905364,7634,6636,30.059337615966797
psample_2000,1.0052703756487134,37189,37385,22.816181182861328
psample_2000,1.0888888888888888,2070,2254,33.164024353027344
psample_2000,1.6283733597425105,8078,13154,33.20121765136719
psample_2000,1.6170002616431187,458640,741621,33.55121612548828
psample_2000,1.380952380952381,21,29,33.713579177856445
psample_2000,1.3342074087469866,652499,870569,18.90850067138672
psample_2000,2.2155797101449277,552,1223,16.029834747314453
psample_2000,1.0177085549779683,1444448,1419314,25.89583396911621
psample_2000,1.7991293532338308,1608,2893,30.126333236694336
psample_2000,1.053091608640194,50362,47823,29.73151206970215
psample_2000,1.0667517365505217,303461,284472,16.085386276245117
psample_2000,1.175,80,94,37.01925277709961
psample_2000,1.0953872075279756,1761536,1929564,33.272504806518555
psample_2000,1.0608832807570978,15850,16815,37.20855712890625
psample_2000,1.2266175227720912,42596,52249,30.097484588623047
psample_2000,1.3806779083019984,2785775,3846258,15.77448844909668
psample_2000,1.6428571428571428,42,69,37.08028793334961
psample_2000,1.401494289492404,229139,321137,26.52430534362793
psample_2000,1.4170942879546904,246129,348788,33.53428840637207
psample_2000,1.4019151018125904,257532,361038,22.42112159729004
psample_2000,5.46422315926046,84231,15415,15.791893005371094
psample_2000,1.4008194560226284,1312334,1838343,26.517868041992188
psample_2000,1.4536082474226804,564,388,29.660701751708984
psample_2000,1.318423448559429,238343,314237,30.080556869506836
psample_2000,1.1441621082697853,111333,127383,33.53595733642578
psample_2000,2.0,4,8,33.52761268615723
psample_2000,1.4471314969646127,2338746,3384473,23.021697998046875
psample_2000,2.772196261682243,856,2373,16.044139862060547
psample_2000,1.172483148820275,175507,205779,33.54787826538086
psample_2000,1.2807041457208048,4167092,5336812,19.316911697387695
psample_2000,1.228023322432026,335128,411545,19.346952438354492
psample_2000,1.2727272727272727,14,11,37.056684494018555
psample_2000,5.7611940298507465,67,386,29.833316802978516
