est,err,est_card,true_card,query_dur_ms
psample_2000,1.0358712223119002,11151,11551,124.61304664611816
psample_2000,1.3106157255086281,223395,292785,122.58744239807129
psample_2000,1.6938637529805922,280597,165655,122.61772155761719
psample_2000,1.1296442189518798,63466,71694,123.06356430053711
psample_2000,1.2816556479738774,1030219,1320386,123.76713752746582
psample_2000,1.2077701335491704,37065,44766,123.51107597351074
psample_2000,1.055552004091287,782150,825600,123.2600212097168
psample_2000,1.163380791920277,320209,372525,123.05092811584473
psample_2000,1.0009529105125978,1440121,1438750,122.79582023620605
psample_2000,1.2508106429024606,682483,853657,123.0628490447998
psample_2000,1.3217263456204873,694438,917857,122.89929389953613
psample_2000,1.0185694717408136,251865,256542,123.77119064331055
psample_2000,1.1871753529994178,951418,1129500,122.79033660888672
psample_2000,1.1997843468353915,49153,58973,122.78509140014648
psample_2000,4.5,42,189,122.95365333557129
psample_2000,1.0131192458829699,177373,179700,122.91526794433594
psample_2000,1.2222639811626768,742356,907355,122.6651668548584
psample_2000,1.1590909090909092,7293,6292,122.6036548614502
psample_2000,1.5580568720379147,2630,1688,122.88165092468262
psample_2000,2.07710843373494,415,862,122.93648719787598
