est,err,est_card,true_card,query_dur_ms
psample_2000,1.5212695904122218,7593,11551,62.32595443725586
psample_2000,1.3981852913085004,209400,292780,62.125205993652344
psample_2000,1.0874064195435396,179384,164965,62.19768524169922
psample_2000,1.4429416737109044,49686,71694,62.433719635009766
psample_2000,1.2158405940429953,1085982,1320381,62.41488456726074
psample_2000,1.2508662121381469,35788,44766,62.16740608215332
psample_2000,1.3149066295042804,627875,825597,62.41011619567871
psample_2000,1.318881371414005,282453,372522,62.3166561126709
psample_2000,1.0563283893995834,1361871,1438583,62.52932548522949
psample_2000,1.1383716991649397,749886,853649,62.44468688964844
psample_2000,1.1682515397940831,785657,917845,62.3471736907959
psample_2000,1.0886310688263576,235651,256537,62.48903274536133
psample_2000,1.136622629585351,993708,1129471,62.29567527770996
psample_2000,1.0742373628609703,63351,58973,62.24250793457031
psample_2000,27.0,7,189,62.87193298339844
psample_2000,1.3099921264434853,137168,179689,62.25395202636719
psample_2000,1.0673914884806506,850048,907334,62.12329864501953
psample_2000,1.6300063572790846,10256,6292,62.20865249633789
psample_2000,34.44897959183673,49,1688,62.2859001159668
psample_2000,22.68421052631579,38,862,62.36624717712402
psample_2000,1.0793467772767822,177858,164783,62.17217445373535
psample_2000,1.2514540083088848,4299494,5380619,62.254905700683594
psample_2000,11.75,8,94,62.55030632019043
psample_2000,2.558408215661104,1993,779,62.491416931152344
psample_2000,1.4934036939313984,2274,3396,62.184810638427734
psample_2000,1.2147838214783822,2151,2613,62.436580657958984
psample_2000,107.0,2,214,62.47973442077637
psample_2000,1.005079236082893,4947,4922,62.13021278381348
psample_2000,1.0247770831198115,39028,39995,62.432050704956055
psample_2000,1.315685984867136,304635,400804,62.28756904602051
psample_2000,1.2574562328622654,568920,715392,62.19840049743652
psample_2000,1.3326359832635983,1911,1434,62.333106994628906
psample_2000,1.1834750643519552,2722528,3222044,62.345266342163086
psample_2000,2.9570661896243293,1653,559,62.528371810913086
psample_2000,1.169247260600286,9817,8396,62.276601791381836
psample_2000,97.0,1,97,62.967777252197266
psample_2000,1.2799651266529284,1624163,2078872,62.04938888549805
psample_2000,1.1189960437359716,3547286,3969399,62.29877471923828
psample_2000,1.1924193817968114,4636825,5529040,62.10160255432129
psample_2000,2.144055944055944,2145,4599,62.326669692993164
psample_2000,33.0,1,33,62.55221366882324
psample_2000,16.0,1,16,62.539100646972656
psample_2000,1.2230583663598715,336598,411679,62.29209899902344
psample_2000,1.3056372322311434,767593,1002198,62.40344047546387
psample_2000,17.0,1,17,62.50619888305664
psample_2000,1.7006688963210703,3588,6102,62.262773513793945
psample_2000,1.1394534434828734,203602,231995,62.26158142089844
psample_2000,2.844452372458081,2803,7973,62.30783462524414
psample_2000,40.0,1,40,62.36100196838379
psample_2000,1.0085078534031413,9246,9168,62.39628791809082
psample_2000,1.3907901182727973,14289,19873,62.32953071594238
psample_2000,33.0,1,33,62.09969520568848
psample_2000,1.5362701500833797,11055,7196,62.27827072143555
psample_2000,1.3014238120411994,563698,733610,62.33382225036621
psample_2000,1.1345179643051984,14557,12831,62.21580505371094
psample_2000,1.1577760053918569,3552023,4112447,62.22128868103027
psample_2000,1.0710781517398744,8765,9388,62.2706413269043
psample_2000,1.1326659357031938,1524928,1727234,62.25085258483887
psample_2000,1.2932270263628545,146494,189450,62.42227554321289
psample_2000,12.0,2,24,62.374114990234375
psample_2000,1.1182408771463763,82814,92606,62.37673759460449
psample_2000,2.3710729104919976,8000,3374,62.616586685180664
psample_2000,1.5205361590363629,44166,67156,62.31045722961426
psample_2000,1.1842148019184546,1255594,1486893,62.103271484375
psample_2000,1.0635944185006012,178805,190176,62.198638916015625
psample_2000,1.1051782587317882,1854832,2049920,62.236785888671875
psample_2000,1.0990830532670424,446918,491200,62.12949752807617
psample_2000,1.2268260461944942,469320,575774,62.29543685913086
psample_2000,2.0680965147453083,3857,1865,62.23464012145996
psample_2000,41.666666666666664,3,125,62.50619888305664
psample_2000,1.2166736730313958,45197,54990,62.27421760559082
psample_2000,13.4,10,134,62.42728233337402
