est,err,est_card,true_card,query_dur_ms
psample_2000,1.035841052722708,11965,11551,62.23464012145996
psample_2000,1.228490506661072,238325,292780,61.955928802490234
psample_2000,1.3748795198981603,226807,164965,62.052011489868164
psample_2000,1.4259517085007358,50278,71694,62.378644943237305
psample_2000,1.1219114914313244,1176903,1320381,62.23893165588379
psample_2000,1.2040611178126257,53901,44766,62.04867362976074
psample_2000,1.1148565710743903,740541,825597,62.27874755859375
psample_2000,1.2959946562946831,287441,372522,62.17598915100098
psample_2000,1.07688927581971,1335869,1438583,62.035322189331055
psample_2000,1.1353240262322466,751899,853649,62.23106384277344
psample_2000,1.0997990550675387,834557,917845,62.21604347229004
psample_2000,1.1482686695432653,223412,256537,62.230825424194336
psample_2000,1.0494270046475154,1076274,1129471,62.08395957946777
psample_2000,1.1170398151305072,52794,58973,62.04080581665039
psample_2000,4.904761904761905,927,189,62.35551834106445
psample_2000,1.1302901066827697,158976,179689,62.05344200134277
psample_2000,1.120411646016038,809822,907334,61.99312210083008
psample_2000,1.4710743801652892,9256,6292,62.055349349975586
psample_2000,1.393889347646573,1211,1688,62.143802642822266
psample_2000,1.228538283062645,1059,862,62.244415283203125
psample_2000,1.1073903079911023,148803,164783,62.04366683959961
psample_2000,1.126818461110597,4775054,5380619,62.15262413024902
psample_2000,18.8,5,94,62.35980987548828
psample_2000,2.329910141206675,1815,779,62.306880950927734
psample_2000,1.4829210836277975,5036,3396,62.090158462524414
psample_2000,2.0497512437810945,5356,2613,62.4542236328125
psample_2000,71.33333333333333,3,214,62.6683235168457
psample_2000,1.2555871596911825,6180,4922,62.00528144836426
psample_2000,1.0682139900109506,37441,39995,62.519073486328125
psample_2000,1.2083255452182984,331702,400804,62.18767166137695
psample_2000,1.1667753973017405,613136,715392,62.02578544616699
psample_2000,11.203125,128,1434,62.08014488220215
psample_2000,1.0726213315569741,3003897,3222044,62.161922454833984
psample_2000,50.81818181818182,11,559,62.30592727661133
psample_2000,1.54728442115293,12991,8396,62.1030330657959
psample_2000,12.969072164948454,1258,97,62.3776912689209
psample_2000,1.0710661912261965,1940937,2078872,61.94877624511719
psample_2000,1.0994377338736259,3610390,3969399,62.003135681152344
psample_2000,1.1067241462482642,4995861,5529040,61.93852424621582
psample_2000,1.0476190476190477,4818,4599,62.20579147338867
psample_2000,33.0,1,33,62.357187271118164
psample_2000,16.0,1,16,62.398672103881836
psample_2000,1.1923462353881622,345268,411679,62.26515769958496
psample_2000,1.1327663085556692,884735,1002198,62.2401237487793
psample_2000,5.666666666666667,3,17,62.38961219787598
psample_2000,1.208620124549328,7375,6102,62.14785575866699
psample_2000,1.1748069375870362,197475,231995,62.28160858154297
psample_2000,1.3064066852367688,6103,7973,62.18862533569336
psample_2000,40.0,1,40,62.212228775024414
psample_2000,1.3011637808685779,7046,9168,62.455177307128906
psample_2000,1.9163689427866955,38084,19873,62.43634223937988
psample_2000,33.0,1,33,61.951398849487305
psample_2000,1.1051973318510284,7953,7196,62.36410140991211
psample_2000,1.1591100128296687,632908,733610,62.22057342529297
psample_2000,1.1638095238095238,11025,12831,62.062740325927734
psample_2000,1.0873842499252373,3781963,4112447,62.172651290893555
psample_2000,1.0762352401696664,8723,9388,61.99336051940918
psample_2000,1.1003747265362704,1569678,1727234,62.111854553222656
psample_2000,1.1895717039539366,159259,189450,62.22987174987793
psample_2000,24.0,1,24,62.00814247131348
psample_2000,1.0447309935582856,88641,92606,62.21175193786621
psample_2000,1.1909636427815038,2833,3374,62.13188171386719
psample_2000,1.2904936682103807,52039,67156,61.98835372924805
psample_2000,1.0569372630250058,1406794,1486893,61.95259094238281
psample_2000,1.0194098255206239,186555,190176,62.1035099029541
psample_2000,1.0778030677049732,1901943,2049920,62.08348274230957
psample_2000,1.2572402654742678,390697,491200,62.029361724853516
psample_2000,1.0525494124615193,547028,575774,62.17527389526367
psample_2000,9.907774798927614,18478,1865,62.01481819152832
psample_2000,62.5,2,125,62.37649917602539
psample_2000,1.0033278777959629,55173,54990,62.209367752075195
psample_2000,134.0,1,134,62.31260299682617
psample_2000,1.1906778082668024,80539,95896,62.46662139892578
psample_2000,1.0646589886498883,551184,586823,62.13116645812988
psample_2000,1.0903560338625442,268261,292500,61.989784240722656
