est,err,est_card,true_card,query_dur_ms
psample_2000,1.1878856437679968,9724,11551,26.467561721801758
psample_2000,20912.85714285714,14,292780,18.90850067138672
psample_2000,2.2106751360188683,74622,164965,19.455671310424805
psample_2000,2.151164186269803,33328,71694,33.501386642456055
psample_2000,1.8408295284235474,717275,1320381,29.952049255371094
psample_2000,5.343280019097636,8378,44766,19.4854736328125
psample_2000,2.85746869440618,288926,825597,30.037641525268555
psample_2000,1.694660655715332,219821,372522,26.52716636657715
psample_2000,1.003598680090061,1443760,1438583,19.121885299682617
psample_2000,3.5978412505742474,237267,853649,29.752731323242188
psample_2000,1.3810591412815323,664595,917845,26.453495025634766
psample_2000,4.1300994944778955,62114,256537,26.54290199279785
psample_2000,5.102002005619348,221378,1129471,22.959232330322266
psample_2000,2.211874578051159,26662,58973,19.302845001220703
psample_2000,63.0,3,189,29.629945755004883
psample_2000,5.019946919960889,35795,179689,25.86078643798828
psample_2000,1.902494768492697,476918,907334,15.970230102539062
psample_2000,10.755555555555556,585,6292,19.539594650268555
psample_2000,6.275092936802974,269,1688,23.198366165161133
psample_2000,5.130952380952381,168,862,30.002355575561523
psample_2000,1.5508842269719814,106251,164783,19.250154495239258
psample_2000,1.8600083033939863,2892793,5380619,22.77374267578125
psample_2000,1.053191489361702,99,94,36.97347640991211
psample_2000,1.7445442875481387,1359,779,33.47349166870117
psample_2000,2.3764870538838347,1429,3396,22.6290225982666
psample_2000,1.8597864768683274,1405,2613,29.983997344970703
psample_2000,10.19047619047619,21,214,37.043094635009766
psample_2000,1.8075651854572163,2723,4922,19.09661293029785
psample_2000,1.0029003625453181,40111,39995,33.73265266418457
psample_2000,198.91017369727047,2015,400804,29.555559158325195
psample_2000,5.257838338404551,136062,715392,19.24610137939453
psample_2000,2.1220362622036264,3043,1434,19.476652145385742
psample_2000,1.8675636104809346,1725266,3222044,26.479244232177734
psample_2000,1.0126811594202898,552,559,33.51163864135742
psample_2000,6.384790874524715,1315,8396,22.98903465270996
psample_2000,1.1975308641975309,81,97,36.93580627441406
psample_2000,723.5892794987817,2873,2078872,18.89514923095703
psample_2000,1.539729284693278,2577985,3969399,17.330408096313477
psample_2000,1.6653278479415172,3320091,5529040,15.684843063354492
psample_2000,1.6448497854077253,2796,4599,26.48019790649414
psample_2000,3.1515151515151514,104,33,36.957502365112305
psample_2000,16.0,1,16,36.975860595703125
psample_2000,1.9685880147663588,209124,411679,26.50737762451172
psample_2000,1.6396735698228782,611218,1002198,33.444881439208984
psample_2000,4.25,4,17,36.99612617492676
psample_2000,6102.0,1,6102,26.09872817993164
psample_2000,1.5778752635516562,147030,231995,23.035049438476562
psample_2000,1.004138969020444,8006,7973,26.51667594909668
psample_2000,40.0,1,40,36.522626876831055
psample_2000,2.7548076923076925,3328,9168,30.010700225830078
psample_2000,1.0124821683309557,19628,19873,26.714563369750977
psample_2000,1.434782608695652,23,33,19.09160614013672
psample_2000,10.459302325581396,688,7196,26.223182678222656
psample_2000,8.057044326319026,91052,733610,26.659488677978516
psample_2000,12831.0,1,12831,22.621631622314453
psample_2000,2.1248717310138647,1935386,4112447,26.51691436767578
psample_2000,126.86486486486487,74,9388,22.379159927368164
psample_2000,2.033135501246554,849542,1727234,26.343584060668945
psample_2000,1.1667939495467088,162368,189450,33.52808952331543
psample_2000,40.166666666666664,964,24,19.45018768310547
psample_2000,1.2024566961851093,77014,92606,33.10585021972656
psample_2000,2.8069883527454245,1202,3374,26.469707489013672
psample_2000,11.43470117486804,5873,67156,15.752315521240234
psample_2000,174.3746921543333,8527,1486893,19.11759376525879
psample_2000,9.495506291192331,20028,190176,26.070356369018555
psample_2000,2.1236620407013125,965276,2049920,26.19147300720215
psample_2000,1.0961706026058633,538439,491200,15.767335891723633
psample_2000,3.5458212475597515,162381,575774,26.50308609008789
psample_2000,1.9941018766756031,3719,1865,19.245147705078125
psample_2000,15.625,8,125,36.98468208312988
psample_2000,4.259488768396592,12910,54990,29.720306396484375
psample_2000,1.2985074626865671,174,134,33.490896224975586
psample_2000,2.6496463306808136,36192,95896,33.53524208068848
psample_2000,2.2511757981233265,260674,586823,26.236534118652344
psample_2000,12.562274523277788,23284,292500,18.88132095336914
psample_2000,862.6173913043478,115,99201,33.13469886779785
psample_2000,1.3675919445879745,305782,418185,33.66732597351074
psample_2000,1.8740907371930877,563231,1055546,22.622108459472656
psample_2000,1.7760609572284456,132027,234488,25.874853134155273
psample_2000,2.207997300988204,1487952,3285394,30.00330924987793
psample_2000,5.663181818181818,4400,24918,22.76325225830078
psample_2000,1.1339843329580923,389840,343779,18.830060958862305
psample_2000,1.2896152295544607,101697,131150,33.71834754943848
psample_2000,1.261134163208852,4559,3615,30.27939796447754
psample_2000,1.6685022026431717,908,1515,36.98897361755371
psample_2000,1.7360911114020159,7639,13262,33.266305923461914
psample_2000,1.427767354596623,2132,3044,33.495426177978516
psample_2000,1.7229687823030804,4837,8334,26.471614837646484
psample_2000,1.9087958864633756,3185580,6080622,18.932580947875977
psample_2000,1.520671834625323,774,1177,29.992341995239258
psample_2000,1.8664921465968587,764,1426,36.977291107177734
psample_2000,1.1459592959164502,2762229,3165402,19.476890563964844
psample_2000,2.948564700462009,78137,230392,29.94394302368164
psample_2000,1.260242506253008,1013912,1277775,26.502609252929688
psample_2000,26950.0,1,26950,30.850887298583984
psample_2000,1.9604415036538347,900287,1764960,15.728235244750977
psample_2000,1.3509011727671862,169002,228305,30.027151107788086
psample_2000,2.9491525423728815,59,174,37.00423240661621
psample_2000,1.32,33,25,37.00900077819824
psample_2000,29.75321125990708,91475,2721675,18.81241798400879
psample_2000,3.0293694850371096,1015646,3076767,23.01168441772461
psample_2000,2.754646707653925,56115,154577,33.66708755493164
psample_2000,1.213432457732677,2475139,3003414,15.732765197753906
psample_2000,1.1428571428571428,24,21,36.978960037231445
psample_2000,6.546831955922865,726,4753,33.612966537475586
psample_2000,2.042676501580611,191698,391577,33.745527267456055
psample_2000,4.016949152542373,59,237,33.7071418762207
psample_2000,1.0209807572936065,193320,197376,26.235580444335938
psample_2000,1.207367758186398,15880,19173,26.508331298828125
psample_2000,1.1680200367502138,164897,192603,33.470869064331055
psample_2000,1.1626364016165798,923926,1074190,19.190073013305664
psample_2000,6.976744186046512,86,600,29.954910278320312
psample_2000,1.2552405749355722,37639,47246,36.98301315307617
psample_2000,4.099445002424327,230992,946939,26.490449905395508
psample_2000,1.604095790807818,14991,24047,33.55693817138672
psample_2000,1.6140459432284013,349083,563436,19.463300704956055
psample_2000,4.0689089791178015,131739,536034,33.46967697143555
psample_2000,1.1898296716860035,8102,9640,19.411563873291016
psample_2000,1.2117440796503778,156283,189375,29.832124710083008
psample_2000,7.887073863636363,1408,11105,33.16235542297363
psample_2000,3.8082007260108215,87602,333606,29.78968620300293
psample_2000,2.0990986171663946,1944124,4080908,19.293785095214844
psample_2000,15.5,4,62,36.974430084228516
psample_2000,304.60861304623177,1579,480977,26.12924575805664
psample_2000,26.2,5,131,29.95014190673828
psample_2000,1.0,1,1,36.985158920288086
psample_2000,1.115992970123023,1270,1138,29.969453811645508
psample_2000,3.994269434802541,30538,121977,22.921323776245117
psample_2000,1.8576561972306653,74025,137513,30.215740203857422
psample_2000,6663.333333333333,3,19990,25.90322494506836
psample_2000,1.1668162636479336,74645,87097,37.139892578125
psample_2000,3.8122659598127075,332742,1268501,22.401809692382812
psample_2000,1.023109243697479,952,974,30.03859519958496
psample_2000,1.4028212208252544,179993,252498,33.529043197631836
psample_2000,2.159405956530526,559151,1207434,22.74799346923828
psample_2000,5.0,1,5,22.679567337036133
psample_2000,3.8595549182846356,68347,263789,22.600889205932617
psample_2000,1.5202269352334656,1095643,1665626,26.22842788696289
psample_2000,1.6428571428571428,14,23,33.490657806396484
psample_2000,1.348731278416689,119648,161373,33.46514701843262
psample_2000,1.854632587859425,2504,4644,22.617816925048828
psample_2000,1.5516742425349683,68419,106164,37.02831268310547
psample_2000,1.034530307382936,18006,17405,33.55240821838379
psample_2000,1.0681875472649358,8475,7934,29.747486114501953
psample_2000,1.0215176216734596,233576,238602,19.304990768432617
psample_2000,1.0721649484536082,97,104,23.0562686920166
psample_2000,2.154820500464668,58106,125208,22.596359252929688
psample_2000,3.1948998178506374,8784,28064,33.52475166320801
psample_2000,1.085843939234572,66551,72264,26.413679122924805
psample_2000,1.3422908261708473,38262,28505,19.192218780517578
psample_2000,4.0,1,4,36.98563575744629
psample_2000,6517.421052631579,19,123831,36.81325912475586
psample_2000,2.0468373302153653,2182618,4467464,22.98283576965332
