est,err,est_card,true_card,query_dur_ms
psample_2000,1.194615184832482,13799,11551,27.202129364013672
psample_2000,3.551560585659352,82437,292780,18.996715545654297
psample_2000,1.1413451338162641,188282,164965,19.709110260009766
psample_2000,1.8701969479587843,38335,71694,33.681392669677734
psample_2000,2.0195395249027612,653803,1320381,30.113935470581055
psample_2000,1.3702898772536656,32669,44766,19.90485191345215
psample_2000,2.621841774322625,314892,825597,30.34353256225586
psample_2000,1.6644564586032795,223810,372522,26.607751846313477
psample_2000,1.0986310835036976,1580472,1438583,19.232511520385742
psample_2000,1.7381643220306198,491121,853649,29.842138290405273
psample_2000,1.7055085336281623,538165,917845,26.677370071411133
psample_2000,2.052476617942379,124989,256537,26.66449546813965
psample_2000,1.6404092777366273,688530,1129471,23.115873336791992
psample_2000,1.4190187444356217,41559,58973,19.50216293334961
psample_2000,6.3,30,189,29.7849178314209
psample_2000,2.018342543918767,89028,179689,26.224136352539062
psample_2000,1.8967756231760446,478356,907334,16.2351131439209
psample_2000,1.2874974421935748,4887,6292,19.853830337524414
psample_2000,2.274932614555256,742,1688,24.266481399536133
psample_2000,1.2657856093979443,681,862,30.06911277770996
psample_2000,1.1717402279724953,140631,164783,19.375085830688477
psample_2000,2.2603492551997806,2380437,5380619,22.836923599243164
psample_2000,1.0444444444444445,90,94,37.177085876464844
psample_2000,2.3902439024390243,1862,779,33.72001647949219
psample_2000,1.3061538461538462,2600,3396,22.774457931518555
psample_2000,2.458137347130762,1063,2613,34.84487533569336
psample_2000,1.6495327102803738,353,214,37.34755516052246
psample_2000,3.9725585149313964,1239,4922,19.155263900756836
psample_2000,1.9016260935717002,21032,39995,33.9961051940918
psample_2000,2.1544895501849144,186032,400804,29.565095901489258
psample_2000,2.1850235334003245,327407,715392,19.353151321411133
psample_2000,1.8486750348675034,2651,1434,19.31619644165039
psample_2000,1.4670053511727004,2196341,3222044,26.578187942504883
psample_2000,1.9143835616438356,292,559,33.66398811340332
psample_2000,4.759637188208616,1764,8396,23.10800552368164
psample_2000,1.830188679245283,53,97,37.08696365356445
psample_2000,2.277262559673649,912882,2078872,19.010543823242188
psample_2000,1.756444294585704,2259906,3969399,15.837430953979492
psample_2000,2.0179397892583895,2739943,5529040,15.784740447998047
psample_2000,2.2445095168374816,2049,4599,26.801586151123047
psample_2000,5.5,6,33,37.11080551147461
psample_2000,1.7777777777777777,9,16,37.36376762390137
psample_2000,3.1005528107489306,132776,411679,26.770830154418945
psample_2000,1.717601249042395,583487,1002198,33.83159637451172
psample_2000,1.3076923076923077,13,17,37.103891372680664
psample_2000,2.0032829940906107,3046,6102,26.18241310119629
psample_2000,1.8277252995722084,126931,231995,23.128986358642578
psample_2000,3.1764940239043824,2510,7973,26.622533798217773
psample_2000,1.7391304347826086,23,40,36.660194396972656
psample_2000,2.9086294416243654,3152,9168,30.114412307739258
psample_2000,1.066434129326536,18635,19873,26.679039001464844
psample_2000,2.75,12,33,19.199848175048828
psample_2000,5.322485207100592,1352,7196,26.39031410217285
psample_2000,2.6234368127250685,279637,733610,26.64327621459961
psample_2000,1.8832515002727768,24164,12831,23.064136505126953
psample_2000,1.5270133536021828,2693131,4112447,26.533842086791992
psample_2000,1.3629500580720093,6888,9388,22.516727447509766
psample_2000,1.7041344574295425,1013555,1727234,26.30329132080078
psample_2000,1.698966002744173,111509,189450,33.58912467956543
psample_2000,2.0416666666666665,49,24,19.741535186767578
psample_2000,1.8884538521146865,49038,92606,33.44535827636719
psample_2000,1.052756372258447,3552,3374,26.8096923828125
psample_2000,8.096937545213407,8294,67156,15.866518020629883
psample_2000,1.773196921308277,838538,1486893,19.156217575073242
psample_2000,2.2729293653639298,83670,190176,26.23581886291504
psample_2000,1.443421648367356,1420181,2049920,26.206016540527344
psample_2000,1.445560463685885,339799,491200,15.861272811889648
psample_2000,7.593258338059003,75827,575774,26.547908782958984
psample_2000,2.7238605898123325,5080,1865,19.3634033203125
psample_2000,2.0491803278688523,61,125,37.099599838256836
psample_2000,1.1291507546826696,62092,54990,29.856204986572266
psample_2000,2.0615384615384613,65,134,33.62417221069336
psample_2000,1.6933182652917078,56632,95896,33.61010551452637
psample_2000,1.7114779438570908,342875,586823,26.36408805847168
psample_2000,1.8289708990408065,159926,292500,18.92256736755371
psample_2000,2.1318877331728703,46532,99201,33.60247611999512
psample_2000,1.6480781584371464,253741,418185,33.74743461608887
psample_2000,1.5776528597541928,669061,1055546,22.6438045501709
psample_2000,1.524153710155478,153848,234488,25.923728942871094
psample_2000,2.0443314717732526,1607075,3285394,29.990196228027344
psample_2000,5.548840195842363,138266,24918,22.683143615722656
psample_2000,1.2469580748096887,428678,343779,19.10853385925293
psample_2000,1.9802802440055565,66228,131150,33.76889228820801
psample_2000,1.247842595788747,2897,3615,30.058622360229492
psample_2000,2.4943894389438945,3779,1515,37.26339340209961
psample_2000,1.0468255165133464,13883,13262,33.29920768737793
psample_2000,1.5530612244897959,1960,3044,33.49924087524414
psample_2000,1.6454096742349458,5065,8334,26.454687118530273
psample_2000,1.691932311822392,3593892,6080622,18.9821720123291
psample_2000,11.77,100,1177,30.063867568969727
psample_2000,1.1114575214341387,1283,1426,36.99016571044922
