est,err,est_card,true_card,query_dur_ms
psample_2000,1.0201290322580645,11859,11625,64.09144401550293
psample_2000,1.1968112115365086,246175,294625,61.99908256530762
psample_2000,1.049049949782086,220041,230834,62.059640884399414
psample_2000,1.4015868052841398,51172,71722,64.14985656738281
psample_2000,1.09025667694365,1211445,1320786,62.34240531921387
psample_2000,1.245208417102265,55743,44766,63.81344795227051
psample_2000,1.1156174064323892,740347,825944,62.26801872253418
psample_2000,1.236854939039562,301425,372819,62.244415283203125
psample_2000,1.0350873074310023,1405665,1454986,62.00695037841797
psample_2000,1.1315736153543605,755121,854475,62.268972396850586
psample_2000,1.0817725305776118,849723,919207,62.340497970581055
psample_2000,1.1520517623020603,223174,257108,62.21890449523926
psample_2000,1.0060940976317818,1125023,1131879,62.1638298034668
psample_2000,1.1047356786931926,53382,58973,62.08395957946777
psample_2000,5.338624338624339,1009,189,62.21270561218262
psample_2000,1.133426269552713,159249,180497,62.5002384185791
psample_2000,1.1050205553218957,822658,909054,63.37761878967285
psample_2000,1.6683089637635091,10497,6292,62.123775482177734
psample_2000,1.5125448028673836,1116,1688,62.15476989746094
psample_2000,1.1183294663573087,964,862,62.28351593017578
psample_2000,1.1367715943348717,144957,164783,62.06822395324707
psample_2000,1.1041611689435697,4877019,5385015,62.079668045043945
psample_2000,18.8,5,94,62.38532066345215
psample_2000,1.1284886782517114,1899,2143,62.32953071594238
psample_2000,1.5229681978798586,5172,3396,62.12902069091797
psample_2000,1.53769613471106,4018,2613,62.28804588317871
psample_2000,71.33333333333333,3,214,62.40367889404297
psample_2000,1.1623323852092646,5721,4922,61.9657039642334
psample_2000,1.0350405010222303,38641,39995,62.363386154174805
psample_2000,1.1176928942807625,360625,403068,62.19077110290527
psample_2000,1.1138083645103332,642835,715995,62.033653259277344
psample_2000,32.59090909090909,44,1434,62.22081184387207
psample_2000,1.0655677525431608,3037362,3236515,62.238216400146484
psample_2000,32.88235294117647,17,559,62.3323917388916
psample_2000,1.6369699857074798,13744,8396,62.11280822753906
psample_2000,13.371134020618557,1297,97,62.38985061645508
psample_2000,1.0464745899042462,1991669,2084231,62.41559982299805
