est,err,est_card,true_card,query_dur_ms
psample_2000,1.7106508875739646,6760,11564,64.12005424499512
psample_2000,1.3970804242493609,209688,292951,62.116384506225586
psample_2000,1.065117526350154,182706,171536,62.19220161437988
psample_2000,1.389615675329961,51597,71700,62.49523162841797
psample_2000,1.1708219354209433,1127765,1320412,62.474966049194336
psample_2000,1.2144213553252672,36862,44766,62.27755546569824
psample_2000,1.3032912391475928,633500,825635,62.41250038146973
psample_2000,1.343502751512791,277302,372556,62.3469352722168
psample_2000,1.0242804584981249,1406069,1440209,62.294960021972656
psample_2000,1.1328653605005274,753605,853733,63.248634338378906
psample_2000,1.183835145462541,775423,917973,62.348127365112305
psample_2000,1.3428789734250217,191082,256600,62.40081787109375
psample_2000,1.097138567380212,1029694,1129717,62.61920928955078
psample_2000,1.0641988706696284,62759,58973,62.38746643066406
psample_2000,17.181818181818183,11,189,62.38245964050293
psample_2000,1.4840552432369962,121137,179774,62.23440170288086
psample_2000,1.1034136448525407,822464,907518,62.10041046142578
psample_2000,1.1110934520025428,6991,6292,62.211036682128906
psample_2000,45.62162162162162,37,1688,62.30568885803223
psample_2000,18.340425531914892,47,862,62.36767768859863
psample_2000,1.0109780741945467,166592,164783,62.09874153137207
psample_2000,1.2443297636448607,4324467,5381063,62.325477600097656
psample_2000,10.444444444444445,9,94,62.53409385681152
psample_2000,2.197411003236246,2037,927,62.42108345031738
psample_2000,1.454389721627409,2335,3396,62.50786781311035
psample_2000,1.2177573670110984,3182,2613,62.395334243774414
psample_2000,107.0,2,214,62.50643730163574
psample_2000,1.0834250495267443,4543,4922,62.070369720458984
psample_2000,1.1430735373974679,34989,39995,62.9119873046875
psample_2000,1.3175253464396712,304382,401031,62.44778633117676
psample_2000,1.2289901278551834,582143,715448,62.20865249633789
psample_2000,1.5320781032078103,2197,1434,62.22033500671387
psample_2000,1.1639310996008312,2769505,3223513,62.32166290283203
psample_2000,3.15742397137746,1765,559,62.48116493225098
psample_2000,1.128751786565031,9477,8396,62.25895881652832
psample_2000,97.0,1,97,62.511444091796875
psample_2000,1.2455976619102587,1669397,2079397,62.06560134887695
psample_2000,1.062909058394692,3735408,3970399,62.13545799255371
psample_2000,1.2028608449633194,4597383,5530012,62.17551231384277
psample_2000,2.3157099697885197,1986,4599,62.389373779296875
psample_2000,33.0,1,33,62.483787536621094
psample_2000,16.0,1,16,62.566280364990234
psample_2000,1.2148699850096198,338884,411700,62.51716613769531
psample_2000,1.3141154828042414,762659,1002222,62.399864196777344
psample_2000,17.0,1,17,62.48068809509277
psample_2000,1.7295918367346939,3528,6102,62.2553825378418
psample_2000,1.1016281973969735,210601,232004,62.6370906829834
psample_2000,2.7906895344767237,2857,7973,62.50762939453125
psample_2000,40.0,1,40,62.39056587219238
psample_2000,1.3132635253054101,12040,9168,62.3631477355957
psample_2000,1.2051546391752577,16490,19873,62.37983703613281
psample_2000,33.0,1,33,62.1027946472168
psample_2000,1.4191256830601093,10388,7320,62.32285499572754
psample_2000,1.3592495433307767,539778,733693,62.33859062194824
psample_2000,1.9399890889252591,24892,12831,62.1943473815918
psample_2000,1.1756179378783311,3499745,4114363,62.319278717041016
psample_2000,1.095832846970935,8567,9388,62.180519104003906
psample_2000,1.144928074098325,1508914,1727598,62.24250793457031
psample_2000,1.3068587077237201,144969,189454,62.487125396728516
psample_2000,12.0,2,24,62.18385696411133
psample_2000,1.0766711191126082,86095,92696,62.40558624267578
psample_2000,3.2557794902193242,10985,3374,62.35527992248535
psample_2000,1.4440667094291213,46770,67539,62.17527389526367
psample_2000,1.204300927238126,1234850,1487131,62.216997146606445
psample_2000,1.0867510500300008,174995,190176,62.37173080444336
psample_2000,1.095257680856269,1872122,2050456,62.26205825805664
psample_2000,1.2357698422281254,397536,491263,62.18099594116211
psample_2000,1.2193483244533914,472413,576036,62.29209899902344
psample_2000,3.087935656836461,5759,1865,62.2098445892334
psample_2000,41.666666666666664,3,125,62.47425079345703
psample_2000,1.0720027581701719,59077,55109,62.74700164794922
psample_2000,13.4,10,134,62.5913143157959
psample_2000,1.1593824429049846,82713,95896,62.456369400024414
psample_2000,1.319718484041058,444735,586925,62.3021125793457
psample_2000,1.1277586712111165,259364,292500,62.11566925048828
psample_2000,1.2029558322522762,82481,99221,62.416791915893555
psample_2000,1.3786435929130614,303375,418246,62.45613098144531
psample_2000,1.214332941986806,869647,1056041,62.178611755371094
psample_2000,1.5235285334995163,154047,234695,62.20555305480957
psample_2000,1.2500008559692826,2628599,3285751,62.3478889465332
psample_2000,1.3416004494742757,33430,24918,62.14118003845215
psample_2000,1.1209468873898638,385358,343779,62.12568283081055
psample_2000,1.2087277084005346,108505,131153,62.41893768310547
psample_2000,1.2582666202575705,2873,3615,62.61324882507324
psample_2000,1.8415841584158417,2790,1515,62.62516975402832
psample_2000,1.1418977096607543,11614,13262,62.418222427368164
psample_2000,37.1219512195122,82,3044,62.44373321533203
psample_2000,1.4474442044636429,12063,8334,62.332868576049805
psample_2000,1.1075381923459944,5496782,6087896,62.07275390625
psample_2000,12.1340206185567,97,1177,62.555551528930664
psample_2000,1.1669004207573632,1664,1426,62.54172325134277
psample_2000,1.2291396431321042,2575687,3165879,62.21413612365723
psample_2000,1.1863890090424107,194196,230392,62.33787536621094
psample_2000,1.2206734911014285,1047022,1278072,62.282562255859375
psample_2000,1.3367225473663327,20162,26951,62.272071838378906
psample_2000,1.1765429877520557,1500660,1765591,62.08992004394531
psample_2000,1.1553611278381921,197617,228319,62.8206729888916
psample_2000,4.702702702702703,37,174,62.6521110534668
psample_2000,25.0,1,25,62.50452995300293
psample_2000,1.077941907282085,2527408,2724399,62.07084655761719
psample_2000,1.2578908100837862,2446105,3076933,62.30044364929199
psample_2000,1.4909478476421965,103677,154577,62.43443489074707
psample_2000,1.144453564973613,2625335,3004574,62.18743324279785
psample_2000,4.2,5,21,62.50619888305664
psample_2000,2.1832797427652735,2177,4753,62.47138977050781
psample_2000,1.249862756613216,313312,391597,62.46471405029297
psample_2000,39.5,6,237,62.45756149291992
psample_2000,1.2126854328793775,239355,197376,62.256813049316406
psample_2000,1.333495618305745,14378,19173,62.27898597717285
psample_2000,1.462750487877108,131693,192634,62.49403953552246
psample_2000,1.2338662460307073,871062,1074774,62.21294403076172
psample_2000,600.0,1,600,62.28327751159668
psample_2000,1.6182664977226808,29201,47255,62.499046325683594
psample_2000,1.0854129384241362,872842,947394,62.35146522521973
psample_2000,1.441136108454277,34655,24047,62.59584426879883
psample_2000,1.331454023463806,423205,563478,62.122344970703125
psample_2000,1.2013796905781657,446187,536040,62.394142150878906
psample_2000,1.3121001769429699,7347,9640,62.12902069091797
psample_2000,1.1173225559030031,169490,189375,62.38245964050293
psample_2000,2.1148352694724815,5251,11105,62.37339973449707
psample_2000,1.1990365493822286,278582,334030,62.29853630065918
psample_2000,1.1829651150323592,3450942,4082344,62.64901161193848
psample_2000,31.0,2,62,62.49856948852539
psample_2000,1.1399437495409215,422041,481103,62.39056587219238
psample_2000,65.5,2,131,62.3478889465332
psample_2000,1.0,1,1,62.532901763916016
psample_2000,1.0576208178438662,1076,1138,62.38412857055664
psample_2000,1.2070716066975418,101052,121977,62.258005142211914
psample_2000,1.3580067731011127,101283,137543,62.50333786010742
psample_2000,1.235934215407444,16174,19990,62.78634071350098
psample_2000,1.4958270366808628,58232,87105,62.44635581970215
psample_2000,1.0652810174223164,1191403,1269179,62.15977668762207
psample_2000,194.8,5,974,62.371015548706055
psample_2000,1.1963047185901081,211080,252516,62.444210052490234
psample_2000,1.2032540645933514,1004221,1208333,62.1795654296875
psample_2000,5.0,1,5,62.36433982849121
psample_2000,1.2110579064076725,217817,263789,62.177419662475586
psample_2000,1.2377812041388792,1345775,1665775,62.36863136291504
psample_2000,7.666666666666667,3,23,62.4697208404541
psample_2000,1.2776423279083022,126328,161402,62.48807907104492
psample_2000,1.367244927962364,3401,4650,62.17169761657715
psample_2000,1.141060777043366,93045,106170,62.64805793762207
psample_2000,1.2543240126837705,13876,17405,62.41178512573242
psample_2000,1.098941265439879,8719,7934,62.337398529052734
psample_2000,1.0302093025205152,245810,238602,62.16740608215332
psample_2000,8.288461538461538,862,104,62.25299835205078
psample_2000,1.0117301350283072,126702,125233,62.17050552368164
psample_2000,1.169367943002375,24001,28066,62.424659729003906
psample_2000,1.1680918128182332,61865,72264,62.714338302612305
psample_2000,1.3683564286967198,39005,28505,62.132835388183594
psample_2000,4.0,1,4,62.685251235961914
psample_2000,1.2275750636889007,100881,123839,62.45827674865723
psample_2000,1.2556574749940772,3558257,4467952,62.37649917602539
psample_2000,1.3757044458359424,4394,3194,62.19148635864258
psample_2000,1.3122171945701357,221,290,62.48068809509277
psample_2000,1.802796052631579,10961,6080,62.35027313232422
psample_2000,1.2775299889153506,1822340,2328094,62.26634979248047
psample_2000,1.1721071901500786,1381209,1618925,62.12568283081055
psample_2000,7.545454545454546,66,498,62.15167045593262
psample_2000,28.0,1,28,62.53528594970703
psample_2000,1.850207149768042,74580,40309,62.06178665161133
psample_2000,13.592592592592593,1101,81,62.39819526672363
psample_2000,1.0,1,1,62.13712692260742
psample_2000,1.1329260262839298,4744496,5375163,62.265634536743164
psample_2000,1.4048379904875148,161472,226842,62.47115135192871
psample_2000,1.2432852137799264,3502457,4354553,62.32810020446777
psample_2000,1.141839123506919,2873086,3280602,62.450408935546875
psample_2000,4.353053435114504,524,2281,62.161922454833984
psample_2000,1.4209855564995753,2354,3345,62.31403350830078
psample_2000,1.2913413145951809,250754,323809,62.520742416381836
psample_2000,1.2693066520838958,2196199,2787650,62.066078186035156
psample_2000,1.2472295687525956,45751,57062,62.17384338378906
psample_2000,1.319007418777181,10312,7818,62.09850311279297
psample_2000,1.1323719104137444,2926565,3313960,62.08348274230957
psample_2000,4.570522979397781,2884,631,62.39509582519531
psample_2000,1.095367847411444,2412,2202,62.464237213134766
psample_2000,1.077922582698257,2469913,2662375,62.2258186340332
psample_2000,1.0909510618651892,9452,8664,62.64805793762207
psample_2000,24.333333333333332,3,73,62.75773048400879
psample_2000,1.3149294065126802,629449,827681,62.37983703613281
psample_2000,3.235237173281704,3342,1033,62.15023994445801
psample_2000,4.315789473684211,76,328,62.528133392333984
psample_2000,1.3481207152992665,467944,630845,62.16907501220703
psample_2000,2.034918327796235,28896,58801,62.648773193359375
psample_2000,3.0474452554744524,822,2505,62.281131744384766
psample_2000,1.3655039589129039,6381,4673,62.143802642822266
psample_2000,7.0,1,7,62.31880187988281
psample_2000,1.2014274385408406,1261,1515,62.28470802307129
psample_2000,1.1974057487465877,56047,67111,62.39509582519531
psample_2000,7.0,1,7,62.50143051147461
psample_2000,1.1305429905353608,62233,55047,62.174081802368164
psample_2000,36.0,1,36,62.090396881103516
psample_2000,1.4365495272197182,455497,654344,62.34931945800781
psample_2000,1.176761356470911,1133913,1334345,62.09373474121094
psample_2000,1.2507411067193677,5063,4048,62.43181228637695
psample_2000,1.4824425550744333,31639,46903,62.51049041748047
psample_2000,1.120231421607487,3244468,3634555,62.18314170837402
psample_2000,1.2721128848324856,523507,665960,62.32595443725586
psample_2000,1.0,1,1,62.71648406982422
psample_2000,11.446808510638299,47,538,62.51955032348633
