est,err,est_card,true_card,query_dur_ms
psample_2000,5.688145597638957,2033,11564,27.541160583496094
psample_2000,292951.0,1,292951,18.931865692138672
psample_2000,1.7714357336069397,303865,171536,19.5159912109375
psample_2000,1.200120514193894,59744,71700,33.5545539855957
psample_2000,1.922335666107131,686879,1320412,31.042098999023438
psample_2000,2.8635578583765113,15633,44766,19.49596405029297
psample_2000,1.701053017613476,485367,825635,30.11035919189453
psample_2000,1.3127089888551022,283807,372556,26.5805721282959
psample_2000,1.3137516846513249,1892077,1440209,19.1802978515625
psample_2000,1.9250940298911328,443476,853733,36.295413970947266
psample_2000,1.6988268866693685,540357,917973,26.581764221191406
psample_2000,2.1075629147775805,121752,256600,26.841402053833008
psample_2000,5.276240694209626,214114,1129717,23.042678833007812
psample_2000,1.6363207547169811,36040,58973,19.329309463500977
psample_2000,37.8,5,189,29.680967330932617
psample_2000,3.3018770892260223,54446,179774,25.975465774536133
psample_2000,4.878027542167898,186042,907518,16.02792739868164
psample_2000,2.216273335681578,2839,6292,19.550323486328125
psample_2000,281.3333333333333,6,1688,23.10776710510254
psample_2000,1.429519071310116,603,862,30.017614364624023
psample_2000,1.3545107065061033,121655,164783,19.310951232910156
psample_2000,1.6344244454305752,3292329,5381063,22.77517318725586
psample_2000,4.9361702127659575,464,94,37.09053993225098
psample_2000,3.8975188781014025,3613,927,33.55693817138672
psample_2000,1.0998233215547704,3735,3396,22.652864456176758
psample_2000,1.6020846106683015,1631,2613,30.06577491760254
psample_2000,1.646153846153846,130,214,37.18304634094238
psample_2000,2.328287606433302,2114,4922,19.132137298583984
psample_2000,1.3001852995676344,30761,39995,33.590078353881836
psample_2000,3.163253876855606,126778,401031,29.483795166015625
psample_2000,3.3549730363423214,213250,715448,19.285202026367188
psample_2000,1434.0,1,1434,19.2720890045166
psample_2000,1.821593094983533,1769612,3223513,26.489734649658203
psample_2000,1.0143112701252237,567,559,33.89096260070801
psample_2000,3.4438063986874488,2438,8396,23.228883743286133
psample_2000,2.5526315789473686,38,97,37.06240653991699
psample_2000,52.71903759855995,39443,2079397,18.89348030090332
psample_2000,1.3773558396794032,2882624,3970399,15.77901840209961
psample_2000,1.344562472297332,4112871,5530012,15.781879425048828
psample_2000,919.8,5,4599,26.526212692260742
psample_2000,1.736842105263158,19,33,37.000179290771484
psample_2000,16.0,1,16,37.02139854431152
psample_2000,1.8178687178219133,226474,411700,26.52740478515625
psample_2000,1.6373206820331607,612111,1002222,33.50067138671875
psample_2000,17.0,1,17,37.06717491149902
psample_2000,6102.0,1,6102,26.1232852935791
psample_2000,1.2318033396161299,188345,232004,23.105144500732422
psample_2000,2.187980241492865,3644,7973,26.55935287475586
psample_2000,40.0,1,40,36.62109375
psample_2000,1.9068219633943428,4808,9168,30.076026916503906
psample_2000,1.1009362362196,18051,19873,26.589155197143555
psample_2000,33.0,1,33,19.10710334777832
psample_2000,20.277008310249307,361,7320,26.407718658447266
psample_2000,3.4071217278641783,215341,733693,26.566743850708008
psample_2000,12831.0,1,12831,22.68505096435547
psample_2000,1.3975659904434485,2943949,4114363,26.363849639892578
psample_2000,56.8969696969697,165,9388,22.428512573242188
psample_2000,2.430207417514788,710885,1727598,26.16715431213379
psample_2000,1.0081497355558606,190998,189454,33.54620933532715
psample_2000,8.0,3,24,19.85621452331543
psample_2000,1.9643144734053826,47190,92696,33.17523002624512
psample_2000,1.8901960784313725,1785,3374,26.751995086669922
psample_2000,269.0796812749004,251,67539,15.828847885131836
psample_2000,4676.512578616353,318,1487131,19.09494400024414
psample_2000,13.624874623871614,13958,190176,26.102066040039062
psample_2000,1.1344452160885188,2326130,2050456,26.183605194091797
psample_2000,1.1173648330934753,548920,491263,15.822172164916992
psample_2000,2.175576151736953,264774,576036,26.547670364379883
psample_2000,1.204780361757106,1548,1865,19.338130950927734
psample_2000,10.416666666666666,12,125,37.020206451416016
psample_2000,3.9484846313677724,13957,55109,29.772281646728516
psample_2000,1.0597014925373134,142,134,33.548593521118164
psample_2000,1.2092964602327898,79299,95896,33.52499008178711
psample_2000,1.5008681598846203,391057,586925,26.27849578857422
psample_2000,2925.0,100,292500,18.892526626586914
psample_2000,640.1354838709677,155,99221,33.223628997802734
psample_2000,1.4206098236151257,294413,418246,33.539533615112305
psample_2000,4.495570587509099,234907,1056041,22.58610725402832
psample_2000,2.0533964443200112,114296,234695,25.915861129760742
psample_2000,1.9951635174374476,1646858,3285751,29.97136116027832
psample_2000,73.0343928084116,1819871,24918,22.637128829956055
psample_2000,1.1812007132489186,406072,343779,19.077301025390625
psample_2000,1.4231474548867693,92157,131153,33.56480598449707
psample_2000,32.567567567567565,111,3615,30.090808868408203
psample_2000,4.316239316239316,351,1515,37.024736404418945
psample_2000,1.787090688586444,7421,13262,33.29277038574219
psample_2000,1.3171787105149286,2311,3044,33.538103103637695
psample_2000,1.6594982078853047,5022,8334,26.882171630859375
psample_2000,1.884935829656851,3229763,6087896,18.950700759887695
psample_2000,1.5466491458607097,761,1177,30.257463455200195
psample_2000,1.3359046283309959,1905,1426,37.036895751953125
psample_2000,1.1561919439630852,2738195,3165879,19.487380981445312
psample_2000,1.8034598825831702,127750,230392,30.04312515258789
psample_2000,1.2130305167237871,1053619,1278072,26.581287384033203
psample_2000,26951.0,1,26951,29.613494873046875
psample_2000,1.5196938906376016,1161807,1765591,15.805482864379883
psample_2000,1.1151655758523005,204740,228319,30.082225799560547
psample_2000,1.288888888888889,135,174,36.9720458984375
psample_2000,25.0,1,25,36.96155548095703
psample_2000,2.2710213764842,1199636,2724399,18.895864486694336
psample_2000,2.4280988526845007,1267219,3076933,23.035287857055664
psample_2000,2.317982784992352,66686,154577,33.54191780090332
psample_2000,1.1551677537548275,2600985,3004574,15.812158584594727
psample_2000,3.142857142857143,66,21,37.033796310424805
psample_2000,2.099381625441696,2264,4753,33.49757194519043
psample_2000,2.4087604261496445,162572,391597,33.582448959350586
psample_2000,3.703125,64,237,33.50949287414551
psample_2000,1.4508567270161201,136041,197376,26.45564079284668
psample_2000,1.0261172063152262,18685,19173,26.57008171081543
psample_2000,1.1037110460485982,174533,192634,33.53619575500488
psample_2000,1.1798140222115132,910969,1074774,19.277572631835938
psample_2000,600.0,1,600,30.04312515258789
psample_2000,1.1057681057681057,42735,47255,36.97633743286133
psample_2000,2.32485902048068,407506,947394,26.551246643066406
psample_2000,1.716661907481439,14008,24047,33.92362594604492
psample_2000,1.461396615444466,385575,563478,19.72484588623047
psample_2000,1.5180710608145995,353106,536040,33.52475166320801
psample_2000,1.4546551984306624,6627,9640,19.490957260131836
psample_2000,1.0413623762376238,197208,189375,29.891252517700195
psample_2000,84.77099236641222,131,11105,33.16545486450195
psample_2000,1.7507455724266614,190793,334030,29.819726943969727
psample_2000,1.823741034512798,2238445,4082344,19.306659698486328
psample_2000,12.4,5,62,37.009477615356445
psample_2000,5064.242105263158,95,481103,26.1080265045166
psample_2000,131.0,1,131,29.777050018310547
psample_2000,1.0,1,1,36.9868278503418
psample_2000,1.1866527632950992,959,1138,30.034542083740234
psample_2000,2.2479681539227068,54261,121977,22.828340530395508
psample_2000,1.6812697869427569,81809,137543,30.05075454711914
psample_2000,98.47290640394088,203,19990,25.91872215270996
psample_2000,1.1638985021178798,74839,87105,37.02044486999512
psample_2000,42.790930546190154,29660,1269179,22.420167922973633
psample_2000,1.0677618069815196,1040,974,30.014514923095703
psample_2000,1.158766141392634,217918,252516,33.739566802978516
psample_2000,1.9432386533593646,621814,1208333,22.77970314025879
psample_2000,5.0,1,5,22.722244262695312
psample_2000,9.792085823527229,26939,263789,23.81134033203125
psample_2000,1.3288895412797195,1253509,1665775,26.340484619140625
psample_2000,1.2105263157894737,19,23,33.52808952331543
psample_2000,1.1693085661295932,138032,161402,33.51593017578125
psample_2000,1.7370190511766903,2677,4650,22.648334503173828
psample_2000,1.3779364049318625,77050,106170,37.343740463256836
psample_2000,1.3081548290116498,13305,17405,33.77389907836914
psample_2000,5.247354497354498,1512,7934,29.82473373413086
psample_2000,1.0474555955105154,249925,238602,19.32048797607422
psample_2000,104.0,1,104,23.07415008544922
psample_2000,1.9296004684057257,64901,125233,22.634506225585938
psample_2000,1.4734355312893743,19048,28066,33.57243537902832
psample_2000,1.5765773627716206,45836,72264,26.309728622436523
psample_2000,2.726153306437467,77709,28505,19.156217575073242
psample_2000,4.0,1,4,36.951541900634766
psample_2000,123839.0,1,123839,36.641597747802734
psample_2000,1.9874143896930907,2248123,4467952,23.02384376525879
psample_2000,319.4,10,3194,22.80426025390625
psample_2000,1.676300578034682,173,290,37.01519966125488
psample_2000,1013.3333333333334,6,6080,26.19338035583496
psample_2000,2328094.0,1,2328094,29.445648193359375
psample_2000,75.37596610485147,21478,1618925,18.95284652709961
psample_2000,2.316279069767442,215,498,19.188880920410156
psample_2000,1.5555555555555556,18,28,37.00137138366699
psample_2000,7.002133518569054,282249,40309,18.838882446289062
psample_2000,12.469135802469136,1010,81,30.268430709838867
psample_2000,1.0,1,1,19.22321319580078
psample_2000,1.2337118820409818,4356903,5375163,22.78304100036621
psample_2000,1.704297520661157,133100,226842,33.53524208068848
psample_2000,4354553.0,1,4354553,29.593229293823242
psample_2000,1.8809022546044982,1744164,3280602,33.50400924682617
psample_2000,8.060070671378092,283,2281,19.1190242767334
psample_2000,41.8125,80,3345,26.511669158935547
psample_2000,4.299395870676492,75315,323809,30.374765396118164
psample_2000,2787650.0,1,2787650,18.914461135864258
psample_2000,1.974395349641881,28901,57062,23.00119400024414
psample_2000,4.758368837492392,1643,7818,15.949726104736328
psample_2000,2.59832431932333,1275422,3313960,19.158363342285156
psample_2000,3.4421553090332804,2172,631,33.553123474121094
psample_2000,2.0054644808743167,1098,2202,33.53452682495117
psample_2000,2.3069701063292367,1154057,2662375,19.535541534423828
psample_2000,30.942857142857143,280,8664,23.003816604614258
psample_2000,1.7804878048780488,41,73,37.078857421875
psample_2000,827681.0,1,827681,33.16187858581543
psample_2000,1.0522749273959342,1087,1033,18.918991088867188
psample_2000,2.6031746031746033,126,328,36.98301315307617
psample_2000,57349.545454545456,11,630845,22.43971824645996
psample_2000,1.8084824998462201,32514,58801,37.05286979675293
psample_2000,1.4080944350758853,1779,2505,23.08511734008789
psample_2000,2.41124871001032,1938,4673,16.080856323242188
psample_2000,7.0,1,7,26.543140411376953
psample_2000,2.078189300411523,729,1515,23.082256317138672
psample_2000,20.087099670757258,3341,67111,32.93967247009277
psample_2000,7.0,1,7,37.03927993774414
psample_2000,166.8090909090909,330,55047,22.61042594909668
psample_2000,36.0,1,36,19.34218406677246
psample_2000,1.3450141419456687,486496,654344,26.493072509765625
psample_2000,1.289117598185268,1035084,1334345,15.79427719116211
psample_2000,1.1241321855040267,3601,4048,33.519744873046875
psample_2000,1.7029627478033549,27542,46903,37.024497985839844
psample_2000,2.3102164750361194,1573253,3634555,26.183366775512695
psample_2000,3.0544560585977094,218029,665960,30.004501342773438
