est,err,est_card,true_card,query_dur_ms
psample_2000,1.4371915851441435,16601,11551,27.608156204223633
psample_2000,2.1164619732970933,138337,292785,18.97287368774414
psample_2000,1.3846669282545048,229377,165655,19.537687301635742
psample_2000,1.4689888331113616,48805,71694,33.60438346862793
psample_2000,1.7746551186520865,744024,1320386,30.20620346069336
psample_2000,1.5158985472892892,29531,44766,19.804954528808594
psample_2000,2.2027042890835937,374812,825600,30.27963638305664
psample_2000,1.5054191452217769,247456,372525,26.64637565612793
psample_2000,1.0818189400521285,1556467,1438750,19.23990249633789
psample_2000,1.4898209925775707,572993,853657,29.855728149414062
psample_2000,1.5713446848432349,584122,917857,26.620864868164062
psample_2000,1.8556651814131127,138248,256542,26.615619659423828
psample_2000,1.4693332778295236,768716,1129500,23.090839385986328
psample_2000,1.0536160937611663,55972,58973,19.35863494873047
psample_2000,2.589041095890411,73,189,29.752731323242188
psample_2000,1.486782774169528,120865,179700,25.966405868530273
psample_2000,1.6461537345087147,551197,907355,16.097307205200195
psample_2000,1.2501490164911584,5033,6292,19.628524780273438
psample_2000,1.0883301096067053,1551,1688,23.1626033782959
psample_2000,1.9241071428571428,448,862,30.15422821044922
psample_2000,1.0234778233945951,161003,164783,19.33741569519043
psample_2000,1.901724881978318,2829353,5380651,22.988080978393555
psample_2000,1.46875,64,94,37.13083267211914
psample_2000,2.6833541927409263,2144,799,33.625125885009766
psample_2000,1.4771639843410178,2299,3396,22.718191146850586
psample_2000,1.6696485623003194,1565,2613,30.101776123046875
psample_2000,1.5186915887850467,325,214,37.63699531555176
psample_2000,2.692560175054705,1828,4922,19.2258358001709
psample_2000,1.6248882749654667,24614,39995,33.56480598449707
psample_2000,1.6135823839619983,248410,400830,29.524803161621094
psample_2000,1.8326621580079927,390360,715398,19.32239532470703
psample_2000,2.193863319386332,3146,1434,19.33431625366211
psample_2000,1.289528606606287,2498741,3222198,26.575088500976562
psample_2000,1.3667481662591687,409,559,33.61368179321289
psample_2000,2.6603295310519646,3156,8396,23.05150032043457
psample_2000,1.564516129032258,62,97,37.07265853881836
psample_2000,1.711614982772035,1214595,2078919,18.97883415222168
psample_2000,1.4875879501501827,2668415,3969502,15.80810546875
psample_2000,1.672543673719781,3305821,5529130,15.774726867675781
psample_2000,1.5739219712525667,2922,4599,26.617050170898438
psample_2000,3.0,11,33,37.119150161743164
psample_2000,1.4545454545454546,11,16,37.9180908203125
psample_2000,2.358948647130955,174518,411679,26.5805721282959
psample_2000,1.5245105645050883,657390,1002198,33.71143341064453
psample_2000,1.3076923076923077,13,17,37.12201118469238
psample_2000,1.3291221956000872,4591,6102,26.20553970336914
psample_2000,1.7073646405993568,135879,231995,23.117542266845703
psample_2000,2.2098115299334813,3608,7973,26.603221893310547
psample_2000,4.0,10,40,37.01639175415039
psample_2000,2.280597014925373,4020,9168,30.094146728515625
psample_2000,1.1087368890872573,17924,19873,26.847362518310547
psample_2000,3.3,10,33,19.18768882751465
psample_2000,5.845093268450933,1233,7207,26.338815689086914
psample_2000,2.0160127728450634,363897,733621,26.613950729370117
psample_2000,2.050892370041306,26315,12831,22.696256637573242
psample_2000,1.368523472312298,3005179,4112658,26.3824462890625
psample_2000,1.0668181818181819,8800,9388,22.516727447509766
psample_2000,1.5004008835943492,1151207,1727272,26.229381561279297
psample_2000,1.5118506104859948,125310,189450,33.64396095275879
psample_2000,1.0833333333333333,26,24,19.554615020751953
psample_2000,1.4547482172588195,63666,92618,33.239126205444336
psample_2000,1.3273013375295044,2542,3374,26.60369873046875
psample_2000,4.474830203755493,15018,67203,15.819787979125977
psample_2000,1.4338190766762196,1037036,1486922,19.14525032043457
psample_2000,1.8761135280712657,101367,190176,26.169538497924805
psample_2000,1.3141906879300043,1559868,2049964,26.28350257873535
psample_2000,1.2553149621391204,391301,491206,15.893697738647461
psample_2000,6.244951302574782,92202,575797,26.58867835998535
psample_2000,1.7195710455764075,3207,1865,19.35291290283203
psample_2000,1.5432098765432098,81,125,37.07289695739746
psample_2000,1.0030819169888394,54836,55005,29.822587966918945
psample_2000,1.558139534883721,86,134,33.794403076171875
psample_2000,1.1664477205274169,82212,95896,33.590078353881836
psample_2000,1.4968193157065097,392054,586834,26.310205459594727
psample_2000,1.2887847090651134,226958,292500,18.972396850585938
psample_2000,1.6758226907223461,59196,99202,33.240556716918945
psample_2000,1.460603245342591,286318,418197,33.59079360961914
psample_2000,1.250829751862424,843927,1055609,22.689342498779297
psample_2000,1.3137205472084972,178506,234507,26.31974220275879
psample_2000,1.7368606082841727,1891583,3285416,30.262470245361328
psample_2000,5.933542017818445,147852,24918,22.71580696105957
psample_2000,1.256926688366654,432105,343779,18.91469955444336
psample_2000,1.7200902342417963,76246,131150,33.571720123291016
psample_2000,1.3167358229598893,4760,3615,30.11012077331543
psample_2000,1.7623762376237624,2670,1515,37.099599838256836
psample_2000,1.002865329512894,13300,13262,33.36215019226074
psample_2000,1.239413680781759,2456,3044,33.58912467956543
psample_2000,1.750104997900042,4762,8334,26.566028594970703
psample_2000,1.3841313100115553,4393633,6081365,19.00339126586914
psample_2000,11.10377358490566,106,1177,30.14540672302246
psample_2000,1.1051893408134643,1576,1426,37.10436820983887
psample_2000,1.3297456951071818,2380489,3165445,19.589662551879883
psample_2000,1.873425544198603,122979,230392,30.141353607177734
psample_2000,1.2195071368814656,1558285,1277799,26.58534049987793
psample_2000,2.4475524475524475,11011,26950,29.7243595123291
psample_2000,1.4729731872453105,1198273,1765024,15.837669372558594
psample_2000,1.444410702197253,158061,228305,30.09653091430664
psample_2000,1.7575757575757576,99,174,37.085533142089844
psample_2000,1.52,38,25,37.271976470947266
psample_2000,1.4453519762623377,1883252,2721962,18.950700759887695
psample_2000,1.7202411303741076,1788576,3076782,23.180007934570312
psample_2000,1.8769367137792026,82356,154577,33.60724449157715
psample_2000,1.2415011061251888,2419256,3003509,15.780448913574219
psample_2000,2.2857142857142856,48,21,37.070274353027344
psample_2000,1.3560627674750356,3505,4753,33.60271453857422
psample_2000,1.637778084495025,239091,391578,33.95414352416992
psample_2000,2.0973451327433628,113,237,33.85591506958008
psample_2000,1.3964723112516715,141339,197376,26.305437088012695
psample_2000,1.2510929853181076,15325,19173,26.613950729370117
psample_2000,1.3773974855900568,139834,192607,33.597707748413086
psample_2000,1.3570304288948176,791616,1074247,19.29187774658203
psample_2000,1.4066666666666667,844,600,30.063629150390625
