est,err,est_card,true_card,query_dur_ms
psample_2000,1.735687453042825,6655,11551,27.861356735229492
psample_2000,2.4243390273994154,120769,292785,19.077062606811523
psample_2000,1.659623917177266,274925,165655,20.789384841918945
psample_2000,2.0076167007364676,35711,71694,33.76913070678711
psample_2000,1.4292026298299962,923862,1320386,30.30085563659668
psample_2000,1.0890910860256908,41104,44766,19.866228103637695
psample_2000,2.6649107177441222,309804,825600,30.562877655029297
psample_2000,1.7887582289360844,208259,372525,26.999473571777344
psample_2000,1.0845582276792074,1326577,1438750,19.412517547607422
psample_2000,1.352201536806857,631309,853657,30.03215789794922
psample_2000,1.2713176254513674,721973,917857,26.778459548950195
psample_2000,2.1099806719578895,121585,256542,26.803255081176758
psample_2000,1.5363814306642418,735169,1129500,23.2694149017334
psample_2000,1.171144871412968,50355,58973,19.4854736328125
psample_2000,3.7058823529411766,51,189,29.889583587646484
psample_2000,1.375862306579179,130609,179700,26.157379150390625
psample_2000,1.9426697725803206,467066,907355,16.173601150512695
psample_2000,1.1217418944691673,7058,6292,19.708633422851562
psample_2000,1.3197810789679436,1279,1688,24.20949935913086
psample_2000,1.0323353293413173,835,862,30.297040939331055
