est,err,est_card,true_card,query_dur_ms
psample_2000,1.0482209332525323,12108,11551,62.91604042053223
psample_2000,1.0333014550174193,302530,292780,62.281131744384766
psample_2000,1.1035795471766738,182052,164965,62.39032745361328
psample_2000,1.0039629748918233,71411,71694,62.61253356933594
psample_2000,1.0166129762458385,1298804,1320381,62.51025199890137
psample_2000,1.0165311776193287,44038,44766,62.3936653137207
psample_2000,1.0327387333045057,852626,825597,62.582969665527344
psample_2000,1.0131773268385023,367677,372522,62.55531311035156
psample_2000,1.0312955220627875,1394928,1438583,62.34025955200195
psample_2000,1.0315738210873198,827521,853649,62.502145767211914
psample_2000,1.0152276684091417,904078,917845,62.47067451477051
psample_2000,1.0696975485017757,274417,256537,62.5612735748291
psample_2000,1.0157737560326914,1147287,1129471,62.406063079833984
psample_2000,1.026706593081356,57439,58973,62.32166290283203
psample_2000,1.0271739130434783,184,189,62.53194808959961
psample_2000,1.003289016022127,180280,179689,62.340497970581055
psample_2000,1.0041891960402674,911135,907334,62.31689453125
psample_2000,1.0565910999160368,5955,6292,62.442779541015625
psample_2000,1.0629722921914357,1588,1688,62.395572662353516
psample_2000,1.010550996483001,853,862,62.53480911254883
psample_2000,1.040580642420638,171470,164783,62.27731704711914
psample_2000,1.0049568646284006,5407290,5380619,62.37435340881348
psample_2000,1.1604938271604939,81,94,62.68048286437988
psample_2000,1.5417201540436456,1201,779,63.028573989868164
psample_2000,1.0729857819905213,3165,3396,62.64615058898926
psample_2000,1.0069364161849712,2595,2613,62.63256072998047
psample_2000,1.0327102803738317,221,214,62.70480155944824
psample_2000,1.1351076798049573,5587,4922,62.332868576049805
psample_2000,1.0158492291280383,39371,39995,62.64662742614746
psample_2000,1.0363344677198831,415367,400804,62.49260902404785
psample_2000,1.0030151301663983,717549,715392,62.364816665649414
psample_2000,1.0301724137931034,1392,1434,62.334537506103516
psample_2000,1.0036973424323195,3233957,3222044,62.48354911804199
psample_2000,1.0238095238095237,546,559,62.65854835510254
psample_2000,1.0989528795811518,7640,8396,62.44230270385742
psample_2000,1.175257731958763,114,97,62.65759468078613
psample_2000,1.0279878137125897,2022273,2078872,62.410831451416016
psample_2000,1.0093617858796622,3932583,3969399,62.34145164489746
psample_2000,1.0053520197628703,5499606,5529040,62.19148635864258
psample_2000,1.020439225918678,4693,4599,62.59465217590332
psample_2000,1.0606060606060606,35,33,62.68310546875
psample_2000,1.4545454545454546,11,16,62.71815299987793
psample_2000,1.0185510946828278,404181,411679,62.51215934753418
psample_2000,1.0278497861699984,1030109,1002198,62.651634216308594
psample_2000,1.3529411764705883,23,17,62.677860260009766
psample_2000,1.0365453949524746,6325,6102,62.70337104797363
psample_2000,1.0265221233216233,238148,231995,62.43252754211426
psample_2000,1.0016305029474477,7986,7973,62.75057792663574
psample_2000,1.3333333333333333,30,40,62.767982482910156
psample_2000,1.0047123287671234,9125,9168,63.75575065612793
psample_2000,1.0780037971250338,18435,19873,62.52574920654297
psample_2000,1.0909090909090908,36,33,62.25013732910156
psample_2000,1.0383838383838384,6930,7196,62.50333786010742
psample_2000,1.014130123635174,743976,733610,62.5309944152832
psample_2000,1.0620809535634468,12081,12831,62.42871284484863
psample_2000,1.0187771416871756,4189667,4112447,62.45136260986328
psample_2000,1.0457836693772975,8977,9388,62.363386154174805
psample_2000,1.0137265709220638,1750943,1727234,62.43133544921875
psample_2000,1.0003326521883762,189387,189450,62.677860260009766
psample_2000,1.125,27,24,62.32023239135742
psample_2000,1.0288966157700365,95282,92606,62.51645088195801
psample_2000,1.2454060462359218,4202,3374,62.45708465576172
psample_2000,1.0472184168205372,70327,67156,62.33930587768555
psample_2000,1.0182636362640252,1460224,1486893,62.2711181640625
psample_2000,1.0508296634378955,180977,190176,62.46542930603027
psample_2000,1.0004284929249865,2049042,2049920,62.408447265625
psample_2000,1.0461503074344398,469531,491200,62.299489974975586
psample_2000,1.0314371445205786,558225,575774,62.45541572570801
psample_2000,1.5858843537414966,1176,1865,62.34025955200195
psample_2000,1.1061946902654867,113,125,62.74271011352539
psample_2000,1.005837424986361,55311,54990,62.46614456176758
psample_2000,1.046875,128,134,62.55507469177246
psample_2000,1.0139943271877867,97238,95896,62.75367736816406
psample_2000,1.011608270296154,593635,586823,62.708139419555664
psample_2000,1.0405880341880342,304372,292500,62.483787536621094
psample_2000,1.0111390006149132,100306,99201,62.65449523925781
psample_2000,1.0379210158183578,434043,418185,62.76750564575195
psample_2000,1.0240642178159034,1030742,1055546,62.54267692565918
psample_2000,1.0317884070826653,241942,234488,64.20516967773438
psample_2000,1.0044609840458139,3270803,3285394,62.70647048950195
psample_2000,1.0376447072541017,24014,24918,62.55769729614258
psample_2000,1.0309530250538863,354420,343779,62.84475326538086
psample_2000,1.0684578849177577,122747,131150,62.64638900756836
psample_2000,1.006085753803596,3637,3615,63.16685676574707
psample_2000,1.1026200873362446,1374,1515,63.05527687072754
psample_2000,1.0830543078807677,12245,13262,64.51845169067383
psample_2000,1.0588042049934296,3223,3044,66.85757637023926
psample_2000,1.0628749700023998,8858,8334,66.18309020996094
psample_2000,1.0098922781038555,6021060,6080622,63.16876411437988
psample_2000,1.0331350892098556,1216,1177,62.80040740966797
psample_2000,1.1943048576214406,1194,1426,63.01593780517578
psample_2000,1.012484038362268,3204919,3165402,62.57295608520508
psample_2000,1.009269480803939,228276,230392,64.11361694335938
psample_2000,1.0288814540901177,1314679,1277775,64.92328643798828
psample_2000,1.0348051948051948,27888,26950,63.14992904663086
psample_2000,1.006106893727052,1754247,1764960,63.794851303100586
psample_2000,1.049943663915013,217445,228305,63.535213470458984
psample_2000,1.0609756097560976,164,174,63.89021873474121
psample_2000,1.1363636363636365,22,25,63.47966194152832
psample_2000,1.0053342267421286,2707234,2721675,63.60030174255371
psample_2000,1.0151126165874764,3123265,3076767,63.27557563781738
psample_2000,1.0046927301680153,153855,154577,63.696861267089844
psample_2000,1.0059951774880187,3021420,3003414,62.513113021850586
psample_2000,1.1428571428571428,24,21,64.21136856079102
psample_2000,1.0189354092152325,4843,4753,63.538312911987305
psample_2000,1.0262196196405815,401844,391577,62.78419494628906
psample_2000,1.2531645569620253,297,237,63.33041191101074
psample_2000,1.0989081960458993,179611,197376,65.00506401062012
psample_2000,1.007197621655453,19311,19173,62.569618225097656
psample_2000,1.0172219539674876,195920,192603,62.75129318237305
psample_2000,1.0341531758813618,1110877,1074190,63.03834915161133
psample_2000,1.1009174311926606,545,600,62.64972686767578
psample_2000,1.0296744697963849,48648,47246,62.68811225891113
psample_2000,1.000856443762481,947750,946939,62.53671646118164
psample_2000,1.0943885677877394,21973,24047,62.70313262939453
psample_2000,1.0100062023396803,557854,563436,62.37649917602539
psample_2000,1.0143199871649933,543710,536034,62.82329559326172
