est,err,est_card,true_card,query_dur_ms
psample_2000,2.4287216148023547,4756,11551,62.49356269836426
psample_2000,1.0834449074390327,317211,292780,62.22701072692871
psample_2000,1.1566877822568424,190813,164965,62.285423278808594
psample_2000,1.182037548469886,84745,71694,62.604427337646484
psample_2000,1.005056563789736,1313738,1320381,62.484025955200195
psample_2000,2.3196020519197886,19299,44766,62.31498718261719
psample_2000,1.1793737411253804,700030,825597,62.47234344482422
psample_2000,1.0916779491146942,341238,372522,62.65997886657715
psample_2000,1.0858504514511849,1562086,1438583,62.27731704711914
psample_2000,1.5046117510200845,567355,853649,62.80708312988281
psample_2000,1.3501691674021772,679800,917845,62.68429756164551
psample_2000,1.4273624588266713,179728,256537,62.45589256286621
psample_2000,1.2576605687956324,898073,1129471,62.386512756347656
psample_2000,1.2577281128652096,74172,58973,62.38055229187012
psample_2000,21.0,9,189,62.464237213134766
psample_2000,1.2352221404953565,145471,179689,62.40057945251465
psample_2000,1.162726981482668,780350,907334,62.26968765258789
psample_2000,2.474243020055053,2543,6292,62.319278717041016
psample_2000,1.1870604781997187,1422,1688,62.36839294433594
psample_2000,172.4,5,862,62.54267692565918
psample_2000,1.6128473411700222,102169,164783,62.28804588317871
psample_2000,1.099935871712352,4891757,5380619,63.19451332092285
psample_2000,4.2727272727272725,22,94,62.59346008300781
psample_2000,6.546218487394958,119,779,62.67952919006348
psample_2000,1.0213533834586466,3325,3396,62.416791915893555
psample_2000,2.190276613579212,1193,2613,62.57796287536621
psample_2000,1.8938053097345133,113,214,62.66951560974121
psample_2000,1.2001950743721044,4101,4922,63.718557357788086
psample_2000,1.3276348547717842,30125,39995,62.6068115234375
psample_2000,1.8168071112239301,220609,400804,62.454938888549805
psample_2000,1.2007774760227872,595774,715392,62.40677833557129
psample_2000,3.0697350069735005,4402,1434,62.337636947631836
psample_2000,1.0724838746828693,3004282,3222044,62.46304512023926
psample_2000,1.1735241502683362,656,559,62.574148178100586
psample_2000,3.6695804195804196,2288,8396,62.46471405029297
psample_2000,1.6724137931034482,58,97,63.11798095703125
psample_2000,1.0048285801146006,2088910,2078872,62.26301193237305
psample_2000,1.0869431516594685,3651892,3969399,62.51215934753418
psample_2000,1.054321878002741,5244167,5529040,62.225341796875
psample_2000,1.2276581865622962,5646,4599,62.47115135192871
psample_2000,16.5,2,33,62.661170959472656
psample_2000,4.0,4,16,62.67857551574707
psample_2000,1.059339922609606,436108,411679,62.45732307434082
psample_2000,1.1557270993290727,867158,1002198,62.60323524475098
psample_2000,1.2352941176470589,21,17,62.6530647277832
psample_2000,1.4435770049680625,4227,6102,62.34908103942871
psample_2000,1.825108368144879,127113,231995,62.38865852355957
psample_2000,1.2951591942820013,6156,7973,62.41655349731445
psample_2000,40.0,1,40,62.506914138793945
psample_2000,1.2588350785340314,11541,9168,63.48156929016113
psample_2000,2.5612836705761053,7759,19873,62.4384880065918
psample_2000,3.6666666666666665,9,33,62.252044677734375
psample_2000,5.893529893529894,1221,7196,62.44707107543945
psample_2000,1.3148098695423858,557959,733610,62.474727630615234
psample_2000,1.1269102406464078,11386,12831,62.661170959472656
psample_2000,1.3181933866707696,3119760,4112447,62.42680549621582
psample_2000,1.6401118099231307,5724,9388,62.42799758911133
psample_2000,1.2448937082644123,1387455,1727234,62.44158744812012
psample_2000,1.300211137503299,246325,189450,62.58130073547363
psample_2000,11.75,282,24,62.53838539123535
psample_2000,1.0420506588349143,88869,92606,62.50929832458496
psample_2000,39.23255813953488,86,3374,62.62564659118652
psample_2000,3.626525542715196,18518,67156,62.529563903808594
psample_2000,1.0751755506280547,1598671,1486893,62.18457221984863
psample_2000,1.2251240095342395,155230,190176,62.38865852355957
psample_2000,1.1604139612870794,1766542,2049920,62.43324279785156
psample_2000,1.8481127850162866,907793,491200,62.31570243835449
psample_2000,1.1516677734484386,499948,575774,62.47878074645996
psample_2000,7.371541501976284,253,1865,62.33048439025879
psample_2000,4.192,524,125,62.62683868408203
psample_2000,2.354427127932865,23356,54990,62.51096725463867
psample_2000,3.1904761904761907,42,134,62.60991096496582
psample_2000,5.141600986542277,18651,95896,62.59298324584961
psample_2000,1.2075267865777999,485971,586823,62.432289123535156
psample_2000,1.076676923076923,314928,292500,62.2403621673584
psample_2000,1.652551266887671,60029,99201,62.502384185791016
psample_2000,1.7003537448158088,245940,418185,62.630653381347656
psample_2000,1.010060196334409,1066165,1055546,62.33072280883789
psample_2000,3.0403236262738895,77126,234488,62.37387657165527
psample_2000,1.0253590667074473,3204140,3285394,62.53242492675781
psample_2000,4.22373384701822,105247,24918,62.31546401977539
psample_2000,1.0514501906978593,326957,343779,62.252044677734375
psample_2000,1.2225474477049854,107276,131150,62.725067138671875
psample_2000,3615.0,1,3615,62.57033348083496
psample_2000,5.25016501650165,7954,1515,62.94608116149902
psample_2000,3.1391192881918264,41631,13262,62.52861022949219
psample_2000,2.339738662567256,1301,3044,62.807559967041016
psample_2000,1.2621535665606542,6603,8334,62.70003318786621
psample_2000,1.1722962297758617,5186933,6080622,62.24465370178223
psample_2000,1.0948837209302325,1075,1177,62.543392181396484
psample_2000,3.875,368,1426,62.64519691467285
psample_2000,1.0321406585036286,3066832,3165402,62.38746643066406
psample_2000,1.305448055075502,176485,230392,62.500953674316406
psample_2000,1.2015950739092287,1063399,1277775,62.52288818359375
psample_2000,1.326410079732257,20318,26950,62.4852180480957
psample_2000,1.1116591877436315,1962034,1764960,62.23773956298828
psample_2000,1.293849955229125,176454,228305,62.500953674316406
psample_2000,1.2517985611510791,139,174,62.6683235168457
psample_2000,25.0,1,25,62.66188621520996
psample_2000,1.2301622814867847,2212452,2721675,62.236785888671875
psample_2000,1.009510194626781,3047782,3076767,62.42561340332031
psample_2000,2.0419413217791047,75701,154577,62.62373924255371
psample_2000,1.0498319578985782,3153080,3003414,62.248945236206055
psample_2000,3.0,7,21,62.64853477478027
psample_2000,1.4754891647380601,7013,4753,62.622785568237305
psample_2000,1.230136340789143,318320,391577,62.683820724487305
psample_2000,1.6808510638297873,141,237,62.6072883605957
psample_2000,32.5756725532266,6059,197376,62.42251396179199
psample_2000,1.577116064818623,12157,19173,62.66522407531738
psample_2000,2.9505491980329976,65277,192603,62.82782554626465
psample_2000,1.42514471151231,753741,1074190,62.537193298339844
psample_2000,200.0,3,600,62.81471252441406
psample_2000,1.2489360014803457,37829,47246,62.67261505126953
psample_2000,1.0010063563241356,945987,946939,62.523841857910156
psample_2000,1.9725207120006563,12191,24047,62.63303756713867
psample_2000,1.5098277234249515,373179,563436,62.3316764831543
psample_2000,1.2117788282209006,442353,536034,62.534332275390625
psample_2000,1.0161825726141078,9796,9640,62.31260299682617
psample_2000,4.025486778335176,47044,189375,62.448978424072266
psample_2000,1.014948221521837,11271,11105,62.49880790710449
psample_2000,1.9227789881384654,173502,333606,62.49284744262695
psample_2000,1.3641427284472456,2991555,4080908,62.31427192687988
psample_2000,2.0,31,62,62.65592575073242
psample_2000,1.0666759811227025,450912,480977,62.381744384765625
psample_2000,6.55,20,131,62.50596046447754
psample_2000,1.0,1,1,62.6988410949707
psample_2000,1.3014059753954306,1481,1138,62.54696846008301
psample_2000,1.389465410596102,87787,121977,62.34931945800781
psample_2000,1.1402485583181226,156799,137513,62.62612342834473
psample_2000,4.209307222573173,4749,19990,62.40558624267578
psample_2000,1.3033790254998203,66824,87097,62.8817081451416
psample_2000,1.0180528040577028,1291401,1268501,62.29853630065918
psample_2000,3.2145214521452146,303,974,62.75796890258789
psample_2000,1.2500396055289318,201992,252498,62.82973289489746
psample_2000,1.7849409274217392,676456,1207434,62.37077713012695
psample_2000,2.5,2,5,62.35980987548828
psample_2000,1.1050096137331864,238721,263789,62.4384880065918
psample_2000,1.380003844331103,1206972,1665626,62.44945526123047
psample_2000,1.5333333333333334,15,23,62.63303756713867
psample_2000,1.2978783296872989,124336,161373,62.60085105895996
psample_2000,1.0062838569880823,4615,4644,64.01634216308594
psample_2000,1.2934368108773255,82079,106164,62.59799003601074
psample_2000,8702.5,2,17405,62.64472007751465
psample_2000,1.4443837611505552,5493,7934,62.49880790710449
psample_2000,1.873121791147886,127382,238602,62.36672401428223
psample_2000,3.7142857142857144,28,104,62.398672103881836
psample_2000,1.0310021985622886,121443,125208,62.390804290771484
psample_2000,1.5085738859323765,18603,28064,62.615156173706055
psample_2000,1.5324455000424124,47156,72264,62.40129470825195
psample_2000,1.5942393736017897,17880,28505,62.2706413269043
psample_2000,4.0,1,4,62.68930435180664
psample_2000,1.7351053693532115,71368,123831,62.66307830810547
psample_2000,1.0743716468452418,4158211,4467464,62.37602233886719
psample_2000,1597.0,2,3194,62.361955642700195
psample_2000,2.638888888888889,108,285,62.851667404174805
psample_2000,1.5008639842014317,4051,6080,62.38412857055664
psample_2000,1.0081262356904788,2346561,2327646,62.64138221740723
psample_2000,1.3276806817967393,1218897,1618306,62.494516372680664
psample_2000,3.3293172690763053,1658,498,62.28947639465332
psample_2000,2.0,14,28,62.65878677368164
psample_2000,3.3711633352847703,11957,40309,62.20412254333496
psample_2000,8.987243090007087,1411,12681,62.56270408630371
psample_2000,1.114489628119961,657981,733313,62.53337860107422
psample_2000,1.6139162561576355,5242,3248,62.61277198791504
psample_2000,24.866666666666667,120,2984,62.30950355529785
psample_2000,1.6375481852197435,212202,347491,62.32023239135742
psample_2000,1.337391792803908,666643,498465,62.25395202636719
psample_2000,1.2716283320230344,446463,567735,62.4086856842041
psample_2000,1.3783221049281205,75404,103931,62.503814697265625
psample_2000,17.156424581005588,179,3071,62.60418891906738
psample_2000,1.9662584287222649,515842,262347,62.55841255187988
psample_2000,1.9344467707143764,487852,252192,62.36124038696289
psample_2000,1.1561323699270718,1546460,1337615,62.41917610168457
psample_2000,2.9080882352941178,791,272,62.64901161193848
psample_2000,10.766666666666667,210,2261,62.441349029541016
psample_2000,2.425496744594002,88929,215697,62.37363815307617
psample_2000,2.498794350671719,14508,5806,62.27588653564453
psample_2000,1.2097042236090731,547396,452504,62.55030632019043
psample_2000,1.4406188947883103,471421,679138,62.522172927856445
psample_2000,1.800808526277104,2721,4900,62.71839141845703
psample_2000,1.9722479185938946,1081,2132,62.36553192138672
psample_2000,1.4747861278624808,149739,220833,62.63113021850586
psample_2000,1710.0,1,1710,62.66975402832031
psample_2000,2.007195093182354,8478,17017,62.731266021728516
psample_2000,3.1566584580412957,5279,16664,62.55841255187988
