est,err,est_card,true_card,query_dur_ms
psample_2000,11551.0,1,11551,26.760101318359375
psample_2000,21.86393846613397,13391,292780,19.082069396972656
psample_2000,16.551189646288606,2730367,164965,19.691944122314453
psample_2000,30.769957081545066,2330,71694,33.79940986633301
psample_2000,119.02830613900657,11093,1320381,30.29632568359375
psample_2000,7.710299689975887,5806,44766,19.707441329956055
psample_2000,68.76536731634182,12006,825597,30.228614807128906
psample_2000,35.77126944497792,10414,372522,26.743412017822266
psample_2000,142.19462291193042,10117,1438583,19.36173439025879
psample_2000,28.051031808622504,30432,853649,30.00617027282715
psample_2000,3.254492525458826,282024,917845,26.692628860473633
psample_2000,47.46290471785384,5405,256537,26.741981506347656
psample_2000,256.98998862343575,4395,1129471,23.21934700012207
psample_2000,92.28951486697966,639,58973,19.45018768310547
psample_2000,189.0,1,189,29.88123893737793
psample_2000,51.04801136363636,3520,179689,26.070833206176758
psample_2000,349.3777435502503,2597,907334,16.130685806274414
psample_2000,299.6190476190476,21,6292,19.69623565673828
psample_2000,1688.0,1,1688,23.247718811035156
psample_2000,11.808219178082192,73,862,30.41982650756836
psample_2000,241.97209985315712,681,164783,19.504785537719727
psample_2000,371.66671271672305,14477,5380619,22.943735122680664
psample_2000,94.0,1,94,37.27078437805176
psample_2000,10.116883116883116,77,779,33.739566802978516
psample_2000,4.872309899569584,697,3396,22.860050201416016
psample_2000,2613.0,1,2613,30.256986618041992
psample_2000,214.0,1,214,37.29653358459473
psample_2000,4922.0,1,4922,19.283771514892578
psample_2000,12.652641569123695,3161,39995,33.740997314453125
psample_2000,4.51727208177894,88727,400804,29.754638671875
psample_2000,14307.84,50,715392,19.68240737915039
psample_2000,6.608294930875576,217,1434,19.459247589111328
psample_2000,6.52843538517648,493540,3222044,26.89051628112793
psample_2000,111.8,5,559,33.75530242919922
psample_2000,2798.6666666666665,3,8396,23.15807342529297
psample_2000,97.0,1,97,37.28032112121582
psample_2000,13.926178003456638,149278,2078872,19.052743911743164
psample_2000,76.75824260824164,51713,3969399,15.914201736450195
psample_2000,157.0973149595113,35195,5529040,15.857934951782227
psample_2000,4599.0,1,4599,26.76558494567871
psample_2000,33.0,1,33,37.22071647644043
psample_2000,16.0,1,16,37.281036376953125
psample_2000,36.92850735557948,11148,411679,28.0001163482666
psample_2000,57.06627946703109,17562,1002198,33.715009689331055
psample_2000,17.0,1,17,37.20450401306152
psample_2000,14.919315403422983,409,6102,26.29542350769043
psample_2000,25.11040155861024,9239,231995,23.264646530151367
psample_2000,47.17751479289941,169,7973,26.798009872436523
psample_2000,40.0,1,40,36.82446479797363
psample_2000,2292.0,4,9168,30.263185501098633
psample_2000,105.14814814814815,189,19873,26.75914764404297
psample_2000,33.0,1,33,19.37270164489746
psample_2000,2.8624235686492496,20598,7196,26.49521827697754
psample_2000,465.784126984127,1575,733610,26.738643646240234
psample_2000,46.15467625899281,278,12831,22.87006378173828
psample_2000,79.75422775579862,51564,4112447,26.549816131591797
psample_2000,2.975594294770206,3155,9388,22.905826568603516
psample_2000,34.13843265144777,50595,1727234,26.31068229675293
psample_2000,84.46277307177887,2243,189450,34.01613235473633
psample_2000,24.0,1,24,21.484851837158203
psample_2000,45.239863214460186,2047,92606,33.40554237365723
psample_2000,1124.6666666666667,3,3374,26.739120483398438
psample_2000,3.6329997295104137,18485,67156,15.932083129882812
psample_2000,414.5227209367159,3587,1486893,19.266843795776367
psample_2000,2881.4545454545455,66,190176,26.30615234375
psample_2000,12.729575995429594,161036,2049920,26.34429931640625
psample_2000,1.5328970568501337,320439,491200,15.984296798706055
psample_2000,115.03976023976024,5005,575774,26.694536209106445
psample_2000,1865.0,1,1865,19.427061080932617
psample_2000,125.0,1,125,37.27984428405762
psample_2000,4230.0,13,54990,30.03978729248047
psample_2000,134.0,1,134,33.77580642700195
psample_2000,108.23476297968398,886,95896,33.76317024230957
psample_2000,1109.306238185255,529,586823,26.4434814453125
psample_2000,2.0193442826667773,144849,292500,19.09327507019043
psample_2000,3.4998941574936495,28344,99201,33.41197967529297
psample_2000,9.150256006301694,45702,418185,33.78176689147949
psample_2000,520.4861932938855,2028,1055546,22.80902862548828
psample_2000,14.082517566512522,16651,234488,26.319503784179688
psample_2000,149.826431959139,21928,3285394,30.28702735900879
psample_2000,21.06339814032122,1183,24918,22.837162017822266
psample_2000,2.131341562459314,161297,343779,19.059181213378906
psample_2000,7.096861471861472,18480,131150,33.85448455810547
psample_2000,3615.0,1,3615,30.597925186157227
psample_2000,42.083333333333336,36,1515,37.49489784240723
psample_2000,4.245198463508323,3124,13262,33.5235595703125
psample_2000,3044.0,1,3044,33.7672233581543
psample_2000,8334.0,1,8334,26.7333984375
psample_2000,3.10603786731015,1957678,6080622,20.833730697631836
psample_2000,1177.0,1,1177,30.23052215576172
psample_2000,1426.0,1,1426,37.28914260864258
psample_2000,126616.08,25,3165402,19.730329513549805
psample_2000,80.35995814440182,2867,230392,30.238628387451172
psample_2000,255555.0,5,1277775,26.73816680908203
psample_2000,16.137724550898202,1670,26950,29.757976531982422
psample_2000,14.067685833160638,125462,1764960,15.864133834838867
psample_2000,8.37785769329566,27251,228305,30.257225036621094
psample_2000,174.0,1,174,37.294626235961914
psample_2000,25.0,1,25,37.29510307312012
psample_2000,5.034489073373215,540606,2721675,19.078731536865234
psample_2000,256.76099474255193,11983,3076767,23.237943649291992
psample_2000,258.92294807370183,597,154577,33.78748893737793
psample_2000,9.235931215173991,325188,3003414,15.913009643554688
psample_2000,21.0,1,21,37.41788864135742
psample_2000,279.5882352941176,17,4753,33.78129005432129
psample_2000,58.09747774480712,6740,391577,33.92982482910156
psample_2000,237.0,1,237,33.76269340515137
psample_2000,39.1541360841103,5041,197376,26.779890060424805
psample_2000,43.27990970654628,443,19173,26.941299438476562
psample_2000,17.712249402243884,10874,192603,33.78868103027344
psample_2000,21.511334508170457,49936,1074190,19.39558982849121
psample_2000,600.0,1,600,30.243873596191406
psample_2000,17.74830954169797,2662,47246,37.2622013092041
psample_2000,10.91232699908962,86777,946939,26.694774627685547
psample_2000,829.2068965517242,29,24047,33.79631042480469
psample_2000,5366.057142857143,105,563436,19.63329315185547
psample_2000,533.898406374502,1004,536034,33.785343170166016
psample_2000,9640.0,1,9640,19.68669891357422
psample_2000,1491.1417322834645,127,189375,30.048370361328125
psample_2000,1.2630346690679874,14026,11105,33.339500427246094
psample_2000,25.015446910617875,13336,333606,30.011892318725586
psample_2000,1825.093023255814,2236,4080908,19.48404312133789
psample_2000,62.0,1,62,37.28175163269043
psample_2000,3.3596097110672654,1615895,480977,26.352882385253906
psample_2000,131.0,1,131,30.045032501220703
psample_2000,1.0,1,1,37.28294372558594
psample_2000,1138.0,1,1138,30.410051345825195
psample_2000,85.41806722689076,1428,121977,22.995471954345703
psample_2000,78.89443488238669,1743,137513,30.23815155029297
psample_2000,54.917582417582416,364,19990,26.185989379882812
psample_2000,19.091845681718546,4562,87097,37.55545616149902
psample_2000,2.4164710946227084,3065296,1268501,22.577524185180664
psample_2000,974.0,1,974,30.468463897705078
psample_2000,33.697851327906044,7493,252498,33.798933029174805
psample_2000,603.4152923538231,2001,1207434,22.91727066040039
psample_2000,5.0,1,5,22.921085357666016
psample_2000,253.8873917228104,1039,263789,22.775888442993164
psample_2000,298.0186079799606,5589,1665626,26.471614837646484
psample_2000,23.0,1,23,33.8139533996582
psample_2000,10.646763871478525,15157,161373,33.71691703796387
psample_2000,3.70926517571885,1252,4644,22.74489402770996
psample_2000,26.033349681216283,4078,106164,37.32752799987793
psample_2000,17405.0,1,17405,33.75554084777832
psample_2000,7934.0,1,7934,30.016422271728516
psample_2000,77.56892067620286,3076,238602,19.443988800048828
psample_2000,104.0,1,104,23.274660110473633
psample_2000,27.260613977792293,4593,125208,22.72963523864746
psample_2000,107.52490421455938,261,28064,33.81490707397461
psample_2000,60.27022518765638,1199,72264,26.474714279174805
psample_2000,3.7784994697773064,7544,28505,19.321918487548828
psample_2000,4.0,1,4,37.32776641845703
psample_2000,8.37658120814449,14783,123831,37.081241607666016
psample_2000,157.2109652672696,28417,4467464,23.23126792907715
psample_2000,3194.0,1,3194,22.931575775146484
psample_2000,10.845614035087719,3091,285,37.34588623046875
psample_2000,10.116472545757071,601,6080,26.546716690063477
psample_2000,1.6429680458282745,3824248,2327646,29.57606315612793
psample_2000,2.700340565696141,599297,1618306,19.266366958618164
psample_2000,498.0,1,498,19.391536712646484
psample_2000,28.0,1,28,37.28175163269043
psample_2000,5758.428571428572,7,40309,19.054651260375977
psample_2000,4.3235594953972045,2933,12681,30.27963638305664
psample_2000,1.8139034764145734,1330159,733313,33.39338302612305
psample_2000,18.666666666666668,174,3248,37.2614860534668
psample_2000,2984.0,1,2984,19.43039894104004
psample_2000,5.460541424094437,1897489,347491,19.441843032836914
psample_2000,145.57973130841123,3424,498465,15.883684158325195
psample_2000,47.596830985915496,11928,567735,26.46017074584961
psample_2000,980.4811320754717,106,103931,26.785612106323242
psample_2000,614.2,5,3071,33.78129005432129
psample_2000,20.624764150943395,12720,262347,30.246257781982422
psample_2000,2.545902400613782,99058,252192,26.105642318725586
psample_2000,9.061081681592174,147622,1337615,26.370525360107422
psample_2000,272.0,1,272,37.3082160949707
psample_2000,2261.0,1,2261,29.87504005432129
psample_2000,1129.303664921466,191,215697,19.42300796508789
psample_2000,5806.0,1,5806,16.149282455444336
psample_2000,1993.409691629956,227,452504,26.642799377441406
psample_2000,83.55536417322834,8128,679138,33.48898887634277
psample_2000,4900.0,1,4900,26.76224708557129
psample_2000,2132.0,1,2132,16.31474494934082
psample_2000,53.34130434782609,4140,220833,22.88079261779785
psample_2000,855.0,2,1710,37.576913833618164
