est,err,est_card,true_card,query_dur_ms
psample_2000,2.3542345276872965,4912,11564,62.88623809814453
psample_2000,1.1080283050749102,324598,292951,62.2403621673584
psample_2000,1.0978861580076484,188327,171536,62.3166561126709
psample_2000,1.2189539748953975,87399,71700,62.56723403930664
psample_2000,1.0001810368792574,1320173,1320412,62.5004768371582
psample_2000,2.3167210060549603,19323,44766,62.78729438781738
psample_2000,1.1409913047323703,723612,825635,62.77966499328613
psample_2000,1.062212034122531,350736,372556,62.52574920654297
psample_2000,1.0872290063456067,1565837,1440209,62.322139739990234
psample_2000,1.4858797279328326,574564,853733,62.52717971801758
psample_2000,1.315673456868863,697721,917973,62.489986419677734
psample_2000,1.4001888017636048,183261,256600,62.51215934753418
psample_2000,1.241215377347089,910170,1129717,62.43419647216797
psample_2000,1.2547606531802689,73997,58973,62.35694885253906
psample_2000,18.9,10,189,62.52551078796387
psample_2000,1.221797076234037,147139,179774,62.42775917053223
psample_2000,1.1428200840192217,794104,907518,62.26205825805664
psample_2000,2.484992101105845,2532,6292,62.41893768310547
psample_2000,1.1681660899653978,1445,1688,62.47758865356445
psample_2000,123.14285714285714,7,862,62.56699562072754
psample_2000,1.621161886959516,101645,164783,62.378644943237305
psample_2000,1.0897629302270289,4937829,5381063,62.400102615356445
psample_2000,4.2727272727272725,22,94,62.7899169921875
psample_2000,7.416,125,927,62.60967254638672
psample_2000,1.0423572744014733,3258,3396,62.375783920288086
psample_2000,2.1793160967472893,1199,2613,63.872575759887695
psample_2000,1.8608695652173912,115,214,63.14563751220703
psample_2000,1.186595949855352,4148,4922,62.276601791381836
psample_2000,1.3304171379149756,30062,39995,62.84523010253906
psample_2000,1.769868660299751,226588,401031,62.53218650817871
psample_2000,1.1510799700745722,621545,715448,62.38126754760742
psample_2000,2.899581589958159,4158,1434,62.29901313781738
psample_2000,1.0468979825007818,3079109,3223513,62.5002384185791
psample_2000,1.1681574239713775,653,559,62.71862983703613
psample_2000,3.604980678402748,2329,8396,62.48354911804199
psample_2000,1.6440677966101696,59,97,62.71862983703613
psample_2000,1.034038714107984,2150177,2079397,62.22033500671387
psample_2000,1.0747600507712185,3694219,3970399,62.252044677734375
psample_2000,1.0496066166450166,5268652,5530012,62.273263931274414
psample_2000,1.2352685366383998,5681,4599,62.48903274536133
psample_2000,16.5,2,33,62.715768814086914
psample_2000,4.0,4,16,62.6978874206543
psample_2000,1.0560456643186786,434774,411700,62.52861022949219
psample_2000,1.1459387641695613,874586,1002222,62.5913143157959
psample_2000,1.2352941176470589,21,17,63.27939033508301
psample_2000,1.4556297709923665,4192,6102,62.38842010498047
psample_2000,1.787919421710516,129762,232004,62.409162521362305
psample_2000,1.2708001275103602,6274,7973,62.462806701660156
psample_2000,40.0,1,40,62.5605583190918
psample_2000,1.2673429319371727,11619,9168,62.53552436828613
psample_2000,2.6711021505376342,7440,19873,63.01689147949219
psample_2000,3.6666666666666665,9,33,62.291860580444336
psample_2000,5.652509652509653,1295,7320,62.639474868774414
psample_2000,1.2821443487773465,572239,733693,62.50333786010742
psample_2000,1.0963855421686748,11703,12831,62.39056587219238
psample_2000,1.294080810323803,3179371,4114363,62.44301795959473
psample_2000,1.6657203690560682,5636,9388,62.32905387878418
psample_2000,1.2253050322249355,1409933,1727598,62.46495246887207
psample_2000,1.2994816683733255,246192,189454,62.60514259338379
psample_2000,11.875,285,24,62.369346618652344
psample_2000,1.0106080263401764,91723,92696,62.59441375732422
psample_2000,37.07692307692308,91,3374,62.69717216491699
psample_2000,3.4043550582186604,19839,67539,62.32333183288574
psample_2000,1.0928721141580668,1625244,1487131,62.252044677734375
psample_2000,1.2274091428350147,154941,190176,62.43276596069336
psample_2000,1.134893307777161,1806739,2050456,62.41893768310547
psample_2000,1.8111826048369204,889767,491263,62.28899955749512
psample_2000,1.1368495840693118,506695,576036,62.54935264587402
psample_2000,8.073593073593074,231,1865,62.31284141540527
psample_2000,4.176,522,125,62.700510025024414
psample_2000,2.3316691347577745,23635,55109,62.49833106994629
psample_2000,3.1904761904761907,42,134,62.619924545288086
psample_2000,4.891155768642252,19606,95896,62.683820724487305
psample_2000,1.1790306607232177,497803,586925,63.04335594177246
psample_2000,1.1026700854700855,322531,292500,62.29090690612793
psample_2000,1.626200544137411,61014,99221,62.5452995300293
psample_2000,1.6734458710604128,249931,418246,62.59751319885254
psample_2000,1.0044174421258265,1060706,1056041,62.37053871154785
psample_2000,2.8783158979138816,81539,234695,62.426090240478516
psample_2000,1.0164733127692769,3232501,3285751,62.49833106994629
psample_2000,4.214343045188217,105013,24918,62.72482872009277
psample_2000,1.0456996851758908,328755,343779,62.28375434875488
psample_2000,1.2181355475679643,107667,131153,62.8352165222168
psample_2000,3615.0,1,3615,62.61181831359863
psample_2000,5.545874587458746,8402,1515,62.68620491027832
psample_2000,3.1176293168451212,41346,13262,62.51168251037598
psample_2000,2.309559939301973,1318,3044,62.59584426879883
psample_2000,1.2203836579294187,6829,8334,62.474727630615234
psample_2000,1.190635359931815,5113149,6087896,62.31498718261719
psample_2000,1.078826764436297,1091,1177,62.5760555267334
psample_2000,3.8333333333333335,372,1426,63.17591667175293
psample_2000,1.0228561846716913,3095136,3165879,62.34931945800781
psample_2000,1.284773456015614,179325,230392,62.55483627319336
psample_2000,1.184912958305095,1078621,1278072,62.44921684265137
psample_2000,1.3046909038098466,20657,26951,62.55793571472168
psample_2000,1.1131598427948488,1965385,1765591,62.25705146789551
psample_2000,1.2700688105290678,179769,228319,62.52098083496094
psample_2000,1.2517985611510791,139,174,62.67857551574707
psample_2000,25.0,1,25,62.659263610839844
psample_2000,1.2228353956307543,2227936,2724399,62.30640411376953
psample_2000,1.0037443054946167,3065455,3076933,62.42489814758301
psample_2000,1.9863147479472123,77821,154577,62.60037422180176
psample_2000,1.0547242304566304,3168997,3004574,62.265634536743164
psample_2000,3.0,7,21,62.70098686218262
psample_2000,1.4887439511887228,7076,4753,62.58964538574219
psample_2000,1.207827497717571,324216,391597,62.644004821777344
psample_2000,1.6458333333333333,144,237,63.022613525390625
psample_2000,28.07624466571835,7030,197376,62.68811225891113
psample_2000,1.5351909680518856,12489,19173,62.49594688415527
psample_2000,2.832644658480994,68005,192634,62.63470649719238
psample_2000,1.394681965111345,770623,1074774,62.3629093170166
psample_2000,200.0,3,600,62.532901763916016
psample_2000,1.2417553540927604,38055,47255,62.71052360534668
psample_2000,1.0056673973387966,942055,947394,62.469482421875
psample_2000,1.992294946147473,12070,24047,62.63566017150879
psample_2000,1.492320934359151,377585,563478,62.37006187438965
psample_2000,1.1730464544252939,456964,536040,62.6223087310791
psample_2000,1.0135892116182572,9771,9640,62.331438064575195
psample_2000,3.9760440068025784,47629,189375,62.521934509277344
psample_2000,1.0081945069788383,11196,11105,62.59298324584961
psample_2000,1.9111017026730135,174784,334030,62.485456466674805
psample_2000,1.3395349691870575,3047583,4082344,62.328338623046875
psample_2000,1.9375,32,62,62.73484230041504
psample_2000,1.0503744296225137,458030,481103,62.433481216430664
psample_2000,6.55,20,131,62.49809265136719
psample_2000,1.0,1,1,62.7748966217041
psample_2000,1.2820738137082601,1459,1138,62.55507469177246
psample_2000,1.3823479413864617,88239,121977,62.33692169189453
psample_2000,1.1218746137571523,154306,137543,62.56985664367676
psample_2000,3.970208540218471,5035,19990,62.421560287475586
psample_2000,1.2641501219087425,68904,87105,62.67833709716797
psample_2000,1.0253502461039774,1301353,1269179,62.78347969055176
psample_2000,3.1019108280254777,314,974,62.773942947387695
psample_2000,1.2079215498684526,209050,252516,62.88337707519531
psample_2000,1.7798604196249181,678892,1208333,62.39676475524902
psample_2000,2.5,2,5,64.15152549743652
psample_2000,1.098438885858363,240149,263789,62.3631477355957
psample_2000,1.3850375781683273,1202693,1665775,62.43085861206055
psample_2000,1.5333333333333334,15,23,62.60991096496582
psample_2000,1.2820875367384224,125890,161402,62.60848045349121
psample_2000,1.029462365591398,4787,4650,62.360525131225586
psample_2000,1.2860049904309698,82558,106170,62.702178955078125
psample_2000,8702.5,2,17405,62.634944915771484
psample_2000,1.397076950167283,5679,7934,62.51263618469238
psample_2000,1.8944485025566107,125948,238602,62.415361404418945
psample_2000,3.7142857142857144,28,104,62.49594688415527
psample_2000,1.0000399255787213,125238,125233,62.34383583068848
psample_2000,1.477702311377876,18993,28066,62.65997886657715
psample_2000,1.5151591395144044,47694,72264,62.48784065246582
psample_2000,1.6113623516110798,17690,28505,62.24513053894043
psample_2000,4.0,1,4,62.70194053649902
psample_2000,1.712588679454025,72311,123839,62.702178955078125
psample_2000,1.0578492046749481,4223619,4467952,62.44659423828125
psample_2000,1597.0,2,3194,62.38150596618652
psample_2000,2.6363636363636362,110,290,62.639713287353516
psample_2000,1.4583833053490045,4169,6080,62.38245964050293
psample_2000,1.0160302805642727,2365414,2328094,62.436580657958984
psample_2000,1.282820815147971,1262004,1618925,62.272071838378906
psample_2000,3.2751004016064256,1631,498,62.32905387878418
psample_2000,1.8666666666666667,15,28,63.0948543548584
psample_2000,3.316248457424928,12155,40309,62.42656707763672
psample_2000,4.05,20,81,62.5462532043457
psample_2000,6.0,6,1,62.24679946899414
psample_2000,1.0426024507688354,5155525,5375163,62.3931884765625
psample_2000,1.6623576485072329,136458,226842,62.621116638183594
psample_2000,1.0291860323582833,4231065,4354553,62.44087219238281
psample_2000,1.0615704670926622,3090329,3280602,62.58583068847656
psample_2000,11.019323671497585,207,2281,62.330007553100586
psample_2000,1.2708966565349544,2632,3345,62.531471252441406
psample_2000,1.705974818488677,552410,323809,62.58344650268555
psample_2000,1.0150822377271178,2829694,2787650,62.22939491271973
psample_2000,1.56540107538681,36452,57062,62.39604949951172
psample_2000,1.069710923509849,8363,7818,62.238216400146484
psample_2000,1.0398081257875529,3187088,3313960,62.28137016296387
psample_2000,1.6096938775510203,392,631,62.65711784362793
psample_2000,12.098901098901099,182,2202,62.59655952453613
psample_2000,1.1465929195155187,2321988,2662375,62.39128112792969
psample_2000,1.266851878929668,6839,8664,62.39008903503418
psample_2000,2.095890410958904,153,73,62.70742416381836
psample_2000,1.9304828792735365,1597824,827681,62.540292739868164
psample_2000,2.0251694094869315,2092,1033,62.38365173339844
psample_2000,46.857142857142854,7,328,62.653541564941406
psample_2000,1.1361827128119417,555232,630845,62.30330467224121
psample_2000,1.4863751263902931,39560,58801,62.68882751464844
psample_2000,1.6192630898513252,1547,2505,62.41750717163086
psample_2000,1.4273485983308367,6670,4673,62.2706413269043
psample_2000,7.0,1,7,62.441349029541016
psample_2000,3.315098468271335,457,1515,62.448740005493164
psample_2000,1.111827173174732,60361,67111,62.93177604675293
psample_2000,1.4,5,7,62.90125846862793
psample_2000,1.3138022387169146,41899,55047,62.34240531921387
psample_2000,2.5,90,36,62.41607666015625
psample_2000,1.4561687733665658,449360,654344,62.494754791259766
psample_2000,1.6939245217868186,787724,1334345,62.29853630065918
psample_2000,2.039525691699605,8256,4048,62.59655952453613
psample_2000,2.314026345650994,20269,46903,62.67499923706055
psample_2000,1.106665805990368,3284239,3634555,62.413692474365234
psample_2000,1.289038834143386,516633,665960,62.543392181396484
psample_2000,1.0,1,1,62.71100044250488
psample_2000,22.416666666666668,24,538,62.73388862609863
