est,err,est_card,true_card,query_dur_ms
psample_2000,33.91202346041056,341,11564,27.701139450073242
psample_2000,10.306466366450886,28424,292951,19.025325775146484
psample_2000,9.88333061281597,1695347,171536,19.61994171142578
psample_2000,96.37096774193549,744,71700,33.8134765625
psample_2000,18.619380675729033,70916,1320412,30.222654342651367
psample_2000,2.384340878828229,18775,44766,19.977569580078125
psample_2000,86.95471300684571,9495,825635,30.45034408569336
psample_2000,41.52429781542577,8972,372556,26.758432388305664
psample_2000,1.9605723495955545,734586,1440209,19.316434860229492
psample_2000,9.469718481709075,90154,853733,29.955148696899414
psample_2000,8.185736069126026,112143,917973,26.71504020690918
psample_2000,57.88405143243853,4433,256600,26.75938606262207
psample_2000,20.823892647140145,54251,1129717,23.183584213256836
psample_2000,2.784897997733283,21176,58973,19.42133903503418
psample_2000,1.0846560846560847,205,189,29.90865707397461
psample_2000,3.386275876358568,53089,179774,26.03459358215332
psample_2000,43.40945183200995,20906,907518,16.15285873413086
psample_2000,1.0619409282700423,5925,6292,19.71435546875
psample_2000,62.51851851851852,27,1688,23.20408821105957
psample_2000,3.4071146245059287,253,862,30.287981033325195
psample_2000,1.7110356571760845,96306,164783,19.443035125732422
psample_2000,17.87372284594433,301060,5381063,22.949695587158203
psample_2000,4.476190476190476,21,94,37.33015060424805
psample_2000,8.950377562028047,8297,927,33.74505043029785
psample_2000,1.3433451118963486,4562,3396,22.864818572998047
psample_2000,10.93305439330544,239,2613,30.200481414794922
psample_2000,107.0,2,214,37.20378875732422
psample_2000,3.566666666666667,1380,4922,19.652128219604492
psample_2000,15.871031746031745,2520,39995,33.96296501159668
psample_2000,5.562767019918993,72092,401031,29.630184173583984
psample_2000,18.224724252999465,39257,715448,19.452571868896484
psample_2000,1.4135285913528592,2027,1434,19.43230628967285
psample_2000,5.186507572576221,621519,3223513,26.630878448486328
psample_2000,5.59,100,559,33.78486633300781
psample_2000,8.828601472134595,951,8396,23.20098876953125
psample_2000,97.0,1,97,37.24026679992676
psample_2000,9.424943456603227,220627,2079397,19.011259078979492
psample_2000,6.366308136831404,623658,3970399,15.829801559448242
psample_2000,10.28410857614687,537724,5530012,15.873193740844727
psample_2000,56.08536585365854,82,4599,26.689529418945312
psample_2000,33.0,1,33,37.213802337646484
psample_2000,16.0,1,16,37.27293014526367
psample_2000,12.647067858569102,32553,411700,26.750802993774414
psample_2000,125.13697090772881,8009,1002222,33.72693061828613
psample_2000,17.0,1,17,37.22047805786133
psample_2000,5.034653465346534,1212,6102,26.40366554260254
psample_2000,15.023246778475684,15443,232004,23.199796676635742
psample_2000,11.725,680,7973,26.74555778503418
psample_2000,40.0,1,40,36.8502140045166
psample_2000,44.94117647058823,204,9168,30.22599220275879
psample_2000,2.457096933728981,8088,19873,26.732444763183594
psample_2000,11.0,3,33,19.488811492919922
psample_2000,7.427049180327868,54366,7320,26.778221130371094
psample_2000,11.457329356465793,64037,733693,26.73935890197754
psample_2000,13.241486068111454,969,12831,22.98879623413086
psample_2000,8.904776642714916,462040,4114363,26.50928497314453
psample_2000,1.0561367982900214,8889,9388,22.562503814697266
psample_2000,9.959346265817311,173465,1727598,26.338577270507812
psample_2000,34.63510054844607,5470,189454,33.78582000732422
psample_2000,24.0,1,24,19.639253616333008
psample_2000,2.6492897767869903,34989,92696,33.42151641845703
psample_2000,14.357446808510637,235,3374,28.203964233398438
psample_2000,2.0482832141429395,138339,67539,15.872716903686523
psample_2000,19.30436419336414,77036,1487131,19.207239151000977
psample_2000,1.2224150565004435,155574,190176,26.307344436645508
psample_2000,8.458697732748094,242408,2050456,26.380300521850586
psample_2000,4.651715289416622,105609,491263,15.920639038085938
psample_2000,5.169441178846102,111431,576036,26.72266960144043
psample_2000,1865.0,1,1865,19.404888153076172
psample_2000,20.833333333333332,6,125,37.24527359008789
psample_2000,1.9399112925936357,28408,55109,30.069351196289062
psample_2000,33.5,4,134,33.768415451049805
psample_2000,15.16382036685642,6324,95896,33.753395080566406
psample_2000,19.886998949615425,29513,586925,26.407480239868164
psample_2000,7.377607385174162,39647,292500,19.136428833007812
psample_2000,28.544591484464902,3476,99221,33.80107879638672
psample_2000,28.47535403050109,14688,418246,33.736228942871094
psample_2000,9.796480454182824,107798,1056041,22.7816104888916
psample_2000,4.077751715750152,57555,234695,26.055335998535156
psample_2000,12.711868275565907,258479,3285751,30.16042709350586
psample_2000,3.903643952163095,97271,24918,22.83620834350586
psample_2000,1.48219931991192,509549,343779,18.972158432006836
psample_2000,19.132458059810357,6855,131153,34.1029167175293
psample_2000,903.75,4,3615,30.513286590576172
psample_2000,3.2580645161290325,465,1515,37.286996841430664
psample_2000,9.52045944005743,1393,13262,33.45465660095215
psample_2000,8.74712643678161,348,3044,33.72788429260254
psample_2000,7.745353159851301,1076,8334,26.746034622192383
psample_2000,2.595188077618252,2345840,6087896,19.071578979492188
psample_2000,23.07843137254902,51,1177,30.246257781982422
psample_2000,6.888888888888889,207,1426,37.2614860534668
psample_2000,16.346348263844067,193675,3165879,19.66547966003418
psample_2000,11.501198083067093,20032,230392,30.211448669433594
psample_2000,20.696181623862422,61754,1278072,26.751041412353516
psample_2000,374.31944444444446,72,26951,29.811620712280273
psample_2000,8.577408886427454,205842,1765591,15.872716903686523
psample_2000,19.802168256721597,11530,228319,30.30991554260254
psample_2000,58.0,3,174,37.23025321960449
psample_2000,25.0,1,25,37.27531433105469
psample_2000,2.1927723158771615,1242445,2724399,18.963098526000977
psample_2000,43.11543473691586,71365,3076933,23.229360580444336
psample_2000,33.75780738152435,4579,154577,33.90955924987793
psample_2000,3.509651449790851,856089,3004574,15.872001647949219
psample_2000,2.625,8,21,37.22977638244629
psample_2000,16.277397260273972,292,4753,33.76340866088867
psample_2000,83.51396886329708,4689,391597,33.74028205871582
psample_2000,21.545454545454547,11,237,33.73456001281738
psample_2000,5.905747883067533,33421,197376,26.464223861694336
psample_2000,3.836902141284771,4997,19173,27.09484100341797
psample_2000,16.610675174614123,11597,192634,33.94126892089844
psample_2000,4.947358245643108,217242,1074774,19.366979598999023
psample_2000,600.0,1,600,30.237436294555664
psample_2000,50.54010695187166,935,47255,37.20855712890625
psample_2000,4.661087495572087,203256,947394,26.71980857849121
psample_2000,5.187014667817084,4636,24047,33.7674617767334
psample_2000,74.81120552310144,7532,563478,19.6378231048584
psample_2000,122.07697563197449,4391,536040,33.829450607299805
psample_2000,9.251439539347409,1042,9640,19.663333892822266
psample_2000,10.52434144714905,17994,189375,30.06601333618164
