est,err,est_card,true_card,query_dur_ms
psample_2000,25.8125,448,11564,27.744770050048828
psample_2000,12.155138790921539,24101,292951,19.05989646911621
psample_2000,7.194099197836023,1234047,171536,19.635438919067383
psample_2000,102.72206303724928,698,71700,33.75983238220215
psample_2000,13.756011168062674,95988,1320412,30.359983444213867
psample_2000,1.3480080701014785,33209,44766,19.876718521118164
psample_2000,84.57641876664619,9762,825635,30.446529388427734
psample_2000,43.85075329566855,8496,372556,26.74126625061035
psample_2000,2.0090071365201236,716876,1440209,19.267797470092773
psample_2000,6.2381390794771185,136857,853733,29.94227409362793
psample_2000,6.4787880498839,141689,917973,26.755571365356445
psample_2000,53.31394140868481,4813,256600,26.733875274658203
psample_2000,19.69520571827057,57360,1129717,23.216962814331055
psample_2000,1.8622856601509459,31667,58973,19.367456436157227
psample_2000,1.2857142857142858,243,189,29.85215187072754
psample_2000,2.813188532799199,63904,179774,26.056766510009766
psample_2000,35.562443669422784,25519,907518,16.143321990966797
psample_2000,1.2433248569612205,7823,6292,19.669532775878906
psample_2000,58.206896551724135,29,1688,23.1778621673584
psample_2000,4.085308056872038,211,862,30.196189880371094
psample_2000,1.4429966285739306,114195,164783,19.44279670715332
psample_2000,14.97972846950223,359223,5381063,22.922277450561523
psample_2000,2.6857142857142855,35,94,37.31513023376465
psample_2000,6.307443365695793,5847,927,33.73360633850098
psample_2000,1.3975265017667844,4746,3396,22.812843322753906
psample_2000,4.649466192170818,562,2613,30.240297317504883
psample_2000,71.33333333333333,3,214,37.218570709228516
psample_2000,4.746383799421408,1037,4922,19.5920467376709
psample_2000,11.250351617440225,3555,39995,33.71405601501465
psample_2000,5.857631129223084,68463,401031,29.823780059814453
psample_2000,9.162425561887687,78085,715448,19.385814666748047
psample_2000,1.5662482566248257,2246,1434,19.373178482055664
psample_2000,4.304169426166467,748928,3223513,26.665449142456055
psample_2000,3.751677852348993,149,559,33.76603126525879
psample_2000,6.870703764320786,1222,8396,23.212909698486328
psample_2000,97.0,1,97,37.25266456604004
psample_2000,10.424976060723042,199463,2079397,18.993377685546875
psample_2000,4.433025062497139,895641,3970399,15.842676162719727
psample_2000,7.636650873241537,724141,5530012,15.860557556152344
psample_2000,37.08870967741935,124,4599,26.736736297607422
psample_2000,33.0,1,33,37.23788261413574
psample_2000,16.0,1,16,37.25576400756836
psample_2000,8.70990945248371,47268,411700,26.704072952270508
psample_2000,128.65494223363285,7790,1002222,33.75959396362305
psample_2000,17.0,1,17,37.375688552856445
psample_2000,5.16243654822335,1182,6102,26.26514434814453
psample_2000,7.765564332574642,29876,232004,23.218154907226562
psample_2000,12.536163522012579,636,7973,26.746749877929688
psample_2000,40.0,1,40,36.79609298706055
psample_2000,26.57391304347826,345,9168,30.260562896728516
psample_2000,2.3568548387096775,8432,19873,27.164459228515625
psample_2000,11.0,3,33,19.231081008911133
psample_2000,5.38483606557377,39417,7320,26.66330337524414
psample_2000,6.142466051604909,119446,733693,26.73625946044922
psample_2000,6.67585848074922,1922,12831,22.843599319458008
psample_2000,6.089623835354888,675635,4114363,26.503324508666992
psample_2000,1.2077704875852309,7773,9388,22.545814514160156
psample_2000,9.894094806109651,174609,1727598,26.34263038635254
psample_2000,28.344404548174747,6684,189454,33.736467361450195
psample_2000,24.0,1,24,19.609689712524414
psample_2000,2.653840648172006,34929,92696,33.37407112121582
psample_2000,7.073375262054507,477,3374,26.696205139160156
psample_2000,1.7699403307718504,119540,67539,15.943765640258789
psample_2000,14.309518311105979,103926,1487131,19.246816635131836
psample_2000,1.2569963118167278,151294,190176,26.273488998413086
psample_2000,10.53991426015976,194542,2050456,26.301145553588867
psample_2000,3.9251112584792143,125159,491263,15.975475311279297
psample_2000,3.317205198933493,173651,576036,26.67689323425293
psample_2000,133.21428571428572,14,1865,19.4242000579834
psample_2000,20.833333333333332,6,125,37.20450401306152
psample_2000,1.64229943974252,33556,55109,29.94537353515625
psample_2000,26.8,5,134,33.81061553955078
psample_2000,16.48830811554333,5816,95896,33.739328384399414
psample_2000,14.118955977868655,41570,586925,26.40986442565918
psample_2000,5.025427805649096,58204,292500,19.05035972595215
psample_2000,27.266007144820005,3639,99221,33.32924842834473
psample_2000,25.605852822333784,16334,418246,33.7216854095459
psample_2000,7.94810600073758,132867,1056041,22.777795791625977
psample_2000,4.107224108361625,57142,234695,26.004791259765625
psample_2000,10.890752765154906,301701,3285751,30.543088912963867
psample_2000,2.1093586965246005,52561,24918,22.827625274658203
psample_2000,1.503372806366881,516828,343779,19.213438034057617
psample_2000,12.228717948717948,10725,131153,33.7986946105957
psample_2000,1205.0,3,3615,30.307769775390625
psample_2000,4.04,375,1515,37.301063537597656
psample_2000,12.01268115942029,1104,13262,33.513545989990234
psample_2000,4.463343108504398,682,3044,33.72955322265625
psample_2000,5.294790343074968,1574,8334,26.683807373046875
psample_2000,2.730325110674686,2229733,6087896,19.03247833251953
psample_2000,17.308823529411764,68,1177,30.19857406616211
psample_2000,5.844262295081967,244,1426,37.271976470947266
psample_2000,13.898418259163165,227787,3165879,19.67597007751465
psample_2000,7.5959249612607564,30331,230392,30.226945877075195
psample_2000,19.226066550333954,66476,1278072,26.80206298828125
psample_2000,272.2323232323232,99,26951,29.788970947265625
psample_2000,5.565754797871535,317224,1765591,15.92564582824707
psample_2000,18.296257712957768,12479,228319,30.24458885192871
psample_2000,43.5,4,174,37.26339340209961
psample_2000,25.0,1,25,37.29128837585449
psample_2000,2.2939989222141763,1187620,2724399,19.007444381713867
psample_2000,37.679345097414924,81661,3076933,23.190021514892578
psample_2000,22.65860451480504,6822,154577,33.69760513305664
psample_2000,2.5791441692776513,1164950,3004574,15.883445739746094
psample_2000,1.5,14,21,37.199974060058594
psample_2000,18.00378787878788,264,4753,33.733367919921875
psample_2000,70.92863611664554,5521,391597,34.12437438964844
psample_2000,29.625,8,237,33.70046615600586
psample_2000,3.473828716251892,56818,197376,26.65567398071289
psample_2000,2.712648556876061,7068,19173,26.76224708557129
psample_2000,13.986350105278444,13773,192634,33.82277488708496
psample_2000,5.000856140481486,214918,1074774,19.37079429626465
psample_2000,600.0,1,600,30.21979331970215
