est,err,est_card,true_card,query_dur_ms
psample_2000,5.42555190230155,2129,11551,62.42179870605469
psample_2000,15.208560594254845,19251,292780,62.23464012145996
psample_2000,18.50753796259813,3053096,164965,62.285423278808594
psample_2000,487.7142857142857,147,71694,62.55221366882324
psample_2000,280.15722469764484,4713,1320381,62.47520446777344
psample_2000,403.2972972972973,111,44766,62.22820281982422
psample_2000,90.66516582473095,9106,825597,62.51978874206543
psample_2000,65.75851721094439,5665,372522,62.59322166442871
psample_2000,2.246364410021783,640405,1438583,62.21771240234375
psample_2000,21.85593220338983,39058,853649,62.445640563964844
psample_2000,14.138528605317477,64918,917845,62.39175796508789
psample_2000,9.80383689379753,26167,256537,62.42012977600098
psample_2000,10.695039154601494,105607,1129471,62.32929229736328
psample_2000,1551.921052631579,38,58973,63.69495391845703
psample_2000,31.5,6,189,62.37030029296875
psample_2000,2.1975735932588942,81767,179689,62.31045722961426
psample_2000,17.25297585092223,52590,907334,62.238454818725586
psample_2000,12.609218436873748,499,6292,62.25013732910156
psample_2000,1688.0,1,1688,62.32857704162598
psample_2000,287.3333333333333,3,862,62.682151794433594
psample_2000,172.18704284221525,957,164783,62.5150203704834
psample_2000,80.90791392869495,66503,5380619,62.293052673339844
psample_2000,94.0,1,94,62.82997131347656
psample_2000,191.69319640564828,149329,779,62.520742416381836
psample_2000,1132.0,3,3396,62.27684020996094
psample_2000,373.2857142857143,7,2613,62.46542930603027
psample_2000,214.0,1,214,62.58678436279297
psample_2000,378.61538461538464,13,4922,62.86883354187012
psample_2000,975.4878048780488,41,39995,62.52861022949219
psample_2000,2.251821721322988,177991,400804,62.35861778259277
psample_2000,34.11990270424953,20967,715392,62.26825714111328
psample_2000,1434.0,1,1434,62.22200393676758
psample_2000,5.168170152701142,623440,3222044,62.372446060180664
psample_2000,559.0,1,559,62.581777572631836
psample_2000,79.20754716981132,106,8396,62.36433982849121
psample_2000,97.0,1,97,62.563180923461914
psample_2000,7.1382236094371825,291231,2078872,62.14261054992676
psample_2000,8.365576237323285,474492,3969399,62.18218803405762
psample_2000,17.183899650978844,321757,5529040,62.19935417175293
psample_2000,2299.5,2,4599,62.435150146484375
psample_2000,33.0,1,33,62.61086463928223
psample_2000,16.0,1,16,62.67142295837402
psample_2000,130.40196388976878,3157,411679,62.40677833557129
psample_2000,520.3520249221184,1926,1002198,62.76226043701172
psample_2000,17.0,1,17,62.79754638671875
psample_2000,554.7272727272727,11,6102,62.27397918701172
psample_2000,61.45562913907285,3775,231995,62.58034706115723
psample_2000,498.3125,16,7973,62.44969367980957
psample_2000,40.0,1,40,62.53218650817871
psample_2000,1833.6,5,9168,62.4845027923584
psample_2000,19873.0,1,19873,62.45017051696777
psample_2000,33.0,1,33,62.24775314331055
psample_2000,4.17342968315731,30032,7196,62.34550476074219
psample_2000,7.137047738571248,102789,733610,62.415361404418945
psample_2000,12831.0,1,12831,62.23726272583008
psample_2000,3.670988595463894,1120256,4112447,62.41488456726074
psample_2000,240.71794871794873,39,9388,62.258243560791016
psample_2000,5.177544431821247,333601,1727234,62.33572959899902
psample_2000,853.3783783783783,222,189450,62.5615119934082
psample_2000,24.0,1,24,62.31355667114258
psample_2000,2.5488123744254536,36333,92606,62.48188018798828
psample_2000,3374.0,1,3374,62.43324279785156
psample_2000,2.3860116743105606,160235,67156,62.744140625
psample_2000,17.95417552163833,82816,1486893,62.161922454833984
psample_2000,186.26444662095983,1021,190176,62.288761138916016
psample_2000,7.361552522238143,278463,2049920,62.361717224121094
psample_2000,149.57369062119366,3284,491200,68.63546371459961
psample_2000,13.139825189986079,43819,575774,62.37959861755371
psample_2000,1865.0,1,1865,62.25442886352539
psample_2000,125.0,1,125,62.857866287231445
psample_2000,1.6992676369704274,32361,54990,62.72268295288086
psample_2000,134.0,1,134,62.48307228088379
psample_2000,3306.7586206896553,29,95896,62.7591609954834
psample_2000,13.521890409696299,43398,586823,62.41869926452637
psample_2000,1523.4375,192,292500,62.21365928649902
psample_2000,16.505990016638936,6010,99201,62.4539852142334
psample_2000,7.451090442591405,56124,418185,62.547922134399414
psample_2000,4.402235429048066,239775,1055546,62.262773513793945
psample_2000,4.943249852432752,47436,234488,62.26372718811035
psample_2000,57.730657716705615,56909,3285394,62.42227554321289
psample_2000,3.988794621418281,6247,24918,62.25943565368652
psample_2000,113.42098317387001,3031,343779,62.18600273132324
psample_2000,156.5035799522673,838,131150,62.531232833862305
psample_2000,3615.0,1,3615,62.50810623168945
psample_2000,1515.0,1,1515,62.55674362182617
psample_2000,13262.0,1,13262,62.525272369384766
psample_2000,1014.6666666666666,3,3044,62.58225440979004
psample_2000,124.38805970149254,67,8334,62.41464614868164
psample_2000,1.2630867221827895,4814097,6080622,62.1950626373291
