est,err,est_card,true_card,query_dur_ms
psample_2000,3.3863969510407506,3411,11551,27.338266372680664
psample_2000,3.11999147485081,93840,292780,18.89657974243164
psample_2000,14.137538265692722,2332199,164965,19.495248794555664
psample_2000,61.96542783059637,1157,71694,33.51163864135742
psample_2000,82.04181682614639,16094,1320381,30.099153518676758
psample_2000,2034.8181818181818,22,44766,19.74773406982422
psample_2000,63.925435540069685,12915,825597,30.252456665039062
psample_2000,37.77347394037721,9862,372522,26.546239852905273
psample_2000,2.423076599163552,593701,1438583,19.206762313842773
psample_2000,26.921347251568957,31709,853649,29.7853946685791
psample_2000,18.15214381773594,50564,917845,26.513099670410156
psample_2000,12.60438264629293,20353,256537,26.53217315673828
psample_2000,13.025994994752564,86709,1129471,24.514436721801758
psample_2000,5897.3,10,58973,19.256114959716797
psample_2000,189.0,1,189,29.680728912353516
psample_2000,6.699313995973455,26822,179689,25.88629722595215
psample_2000,14.640322710770471,61975,907334,16.021013259887695
psample_2000,370.11764705882354,17,6292,19.527673721313477
psample_2000,1688.0,1,1688,23.12326431274414
psample_2000,862.0,1,862,30.02166748046875
psample_2000,1120.9727891156463,147,164783,19.3026065826416
psample_2000,34.39985551165497,156414,5380619,22.795677185058594
psample_2000,94.0,1,94,37.194252014160156
psample_2000,44.22079589216945,34448,779,33.536672592163086
psample_2000,1132.0,3,3396,22.65167236328125
psample_2000,2613.0,1,2613,30.054330825805664
psample_2000,214.0,1,214,37.22023963928223
psample_2000,4922.0,1,4922,19.08731460571289
psample_2000,13331.666666666666,3,39995,33.75744819641113
psample_2000,5.391280954494707,74343,400804,29.7091007232666
psample_2000,29.043195842806107,24632,715392,19.321918487548828
psample_2000,1434.0,1,1434,19.318103790283203
psample_2000,6.100888612019458,528127,3222044,26.525497436523438
psample_2000,559.0,1,559,33.55765342712402
psample_2000,2099.0,4,8396,23.02098274230957
psample_2000,97.0,1,97,37.02855110168457
psample_2000,12.083725201843768,172039,2078872,18.901586532592773
psample_2000,11.832527983545228,335465,3969399,15.744924545288086
psample_2000,16.104203256934312,343329,5529040,15.783071517944336
psample_2000,4599.0,1,4599,26.54719352722168
psample_2000,33.0,1,33,36.972999572753906
psample_2000,16.0,1,16,37.04333305358887
psample_2000,64.26459569153918,6406,411679,26.539325714111328
psample_2000,121.72938175634641,8233,1002198,33.51116180419922
psample_2000,17.0,1,17,36.988019943237305
psample_2000,3051.0,2,6102,26.25870704650879
psample_2000,61.05131578947368,3800,231995,23.200035095214844
psample_2000,7973.0,1,7973,26.56412124633789
psample_2000,40.0,1,40,36.559343338012695
psample_2000,9168.0,1,9168,30.217885971069336
psample_2000,19873.0,1,19873,26.78537368774414
psample_2000,33.0,1,33,19.109487533569336
psample_2000,5.695247359644247,40983,7196,26.465892791748047
psample_2000,21.174450152975812,34646,733610,26.56102180480957
psample_2000,3207.75,4,12831,22.70984649658203
psample_2000,5.790172700726227,710246,4112447,26.348590850830078
psample_2000,3129.3333333333335,3,9388,22.434473037719727
psample_2000,12.199014040737916,141588,1727234,26.13520622253418
psample_2000,158.27067669172934,1197,189450,33.585309982299805
psample_2000,24.0,1,24,19.439697265625
psample_2000,3.775214023644517,24530,92606,33.11944007873535
psample_2000,3374.0,1,3374,26.49831771850586
psample_2000,2.3374679849901723,156975,67156,15.836000442504883
psample_2000,14.960337663121674,99389,1486893,19.095182418823242
psample_2000,2089.846153846154,91,190176,26.10325813293457
psample_2000,10.856189593538991,188825,2049920,26.205778121948242
psample_2000,22.050637457353204,22276,491200,15.808343887329102
psample_2000,5.490254786787703,104872,575774,26.5045166015625
psample_2000,621.6666666666666,3,1865,19.295215606689453
psample_2000,125.0,1,125,37.058353424072266
psample_2000,1.0417166757592289,57284,54990,29.802322387695312
psample_2000,134.0,1,134,33.481597900390625
psample_2000,4794.8,20,95896,33.574581146240234
psample_2000,18.778336,31250,586823,26.407241821289062
psample_2000,7312.5,40,292500,18.917560577392578
psample_2000,14.877174565086982,6668,99201,33.16211700439453
psample_2000,15.133535989577679,27633,418185,33.701419830322266
psample_2000,6.283198904729307,167995,1055546,22.911548614501953
psample_2000,4.6707965659422745,50203,234488,25.908231735229492
psample_2000,24.657900464578688,133239,3285394,30.195951461791992
psample_2000,207.65,120,24918,22.684335708618164
psample_2000,691.7082494969819,497,343779,18.91636848449707
psample_2000,79.340592861464,1653,131150,33.50329399108887
psample_2000,3615.0,1,3615,30.050277709960938
psample_2000,1515.0,1,1515,37.015438079833984
psample_2000,6631.0,2,13262,33.25247764587402
psample_2000,3044.0,1,3044,33.490657806396484
psample_2000,2778.0,3,8334,26.515483856201172
psample_2000,2.4523017619679646,2479557,6080622,18.942832946777344
psample_2000,1177.0,1,1177,30.037879943847656
psample_2000,1426.0,1,1426,37.01925277709961
psample_2000,17.044682088394936,185712,3165402,19.521474838256836
psample_2000,16456.571428571428,14,230392,30.046939849853516
psample_2000,11.906880742493989,107314,1277775,26.594877243041992
psample_2000,49.44954128440367,545,26950,29.62517738342285
psample_2000,7.5353186039065,234225,1764960,15.77615737915039
psample_2000,39.36971891705466,5799,228305,30.07221221923828
psample_2000,174.0,1,174,37.02831268310547
psample_2000,25.0,1,25,37.17517852783203
psample_2000,2.7361134707853343,994723,2721675,18.876075744628906
psample_2000,50.1200071675246,61388,3076767,23.016929626464844
psample_2000,38644.25,4,154577,33.6918830871582
psample_2000,6.9406830188156015,432726,3003414,15.959739685058594
psample_2000,21.0,1,21,36.963462829589844
psample_2000,4753.0,1,4753,33.756256103515625
psample_2000,89.7906443476267,4361,391577,33.568382263183594
psample_2000,237.0,1,237,33.5385799407959
psample_2000,5981.090909090909,33,197376,26.3211727142334
psample_2000,4793.25,4,19173,26.50928497314453
psample_2000,20.176304211187933,9546,192603,33.548831939697266
psample_2000,5.336052218491068,201308,1074190,19.29187774658203
psample_2000,600.0,1,600,29.958009719848633
psample_2000,17.38903202061097,2717,47246,36.98253631591797
psample_2000,6.171717764221284,153432,946939,26.532888412475586
psample_2000,4007.8333333333335,6,24047,33.521413803100586
psample_2000,38.19387201735358,14752,563436,19.475698471069336
psample_2000,240.15860215053763,2232,536034,33.58817100524902
psample_2000,9640.0,1,9640,19.451618194580078
psample_2000,9468.75,20,189375,29.891014099121094
psample_2000,5552.5,2,11105,33.18524360656738
psample_2000,2.39840396851073,139095,333606,29.822349548339844
psample_2000,7.636701155168316,534381,4080908,19.317150115966797
psample_2000,62.0,1,62,37.19139099121094
psample_2000,11.003065449637408,43713,480977,26.171445846557617
psample_2000,131.0,1,131,30.0295352935791
psample_2000,1.0,1,1,37.194013595581055
psample_2000,284.5,4,1138,30.019044876098633
psample_2000,30494.25,4,121977,23.01812171936035
psample_2000,10.356454285283927,13278,137513,30.027389526367188
psample_2000,6663.333333333333,3,19990,25.952816009521484
psample_2000,47.77674163466813,1823,87097,36.99445724487305
psample_2000,5.2897407883104535,239804,1268501,22.419214248657227
psample_2000,974.0,1,974,31.564950942993164
psample_2000,32.65201086253718,7733,252498,33.473968505859375
psample_2000,4.251019244174993,284034,1207434,22.757768630981445
psample_2000,5.0,1,5,22.68075942993164
psample_2000,2561.0582524271845,103,263789,22.640228271484375
psample_2000,30.501501611485498,54608,1665626,26.26943588256836
psample_2000,23.0,1,23,33.530473709106445
psample_2000,16.32834159668117,9883,161373,33.50687026977539
psample_2000,2.4174908901613743,1921,4644,22.684097290039062
psample_2000,40.832307692307694,2600,106164,36.99183464050293
psample_2000,17405.0,1,17405,34.096717834472656
psample_2000,7934.0,1,7934,29.76512908935547
psample_2000,14035.411764705883,17,238602,19.30999755859375
psample_2000,104.0,1,104,23.04840087890625
