est,err,est_card,true_card,query_dur_ms
psample_2000,4.841156747694887,2386,11551,26.502132415771484
psample_2000,2.496269833826426,117287,292780,18.8906192779541
psample_2000,13.010608310853817,2146295,164965,19.420385360717773
psample_2000,53.82432432432432,1332,71694,33.50329399108887
psample_2000,73.9957969065232,17844,1320381,30.01093864440918
psample_2000,1065.857142857143,42,44766,19.408464431762695
psample_2000,68.06240725474031,12130,825597,29.9837589263916
psample_2000,34.28958026509573,10864,372522,26.567459106445312
psample_2000,2.5383518692025784,566739,1438583,19.125938415527344
psample_2000,29.67149808828641,28770,853649,29.731035232543945
psample_2000,19.205796191671897,47790,917845,26.473283767700195
psample_2000,11.14796627846341,23012,256537,26.488304138183594
psample_2000,13.058826929969593,86491,1129471,23.04673194885254
psample_2000,3276.277777777778,18,58973,19.24753189086914
psample_2000,189.0,1,189,29.752254486083984
psample_2000,6.243320245995622,28781,179689,25.858163833618164
psample_2000,12.808577317259099,70838,907334,15.92874526977539
psample_2000,393.25,16,6292,19.501209259033203
psample_2000,844.0,2,1688,23.032426834106445
psample_2000,862.0,1,862,29.925107955932617
psample_2000,424.6984536082474,388,164783,19.21391487121582
psample_2000,26.225557716396885,205167,5380619,22.7200984954834
psample_2000,94.0,1,94,36.99183464050293
psample_2000,41.8395378690629,32593,779,33.446550369262695
psample_2000,566.0,6,3396,22.62568473815918
psample_2000,435.5,6,2613,30.193090438842773
psample_2000,214.0,1,214,37.114620208740234
psample_2000,492.2,10,4922,19.091367721557617
psample_2000,9998.75,4,39995,33.712148666381836
psample_2000,5.013434067995897,79946,400804,29.491186141967773
psample_2000,24.877142956497547,28757,715392,19.257068634033203
psample_2000,717.0,2,1434,19.279003143310547
psample_2000,5.827313486013373,552921,3222044,26.42226219177246
psample_2000,559.0,1,559,33.46109390258789
psample_2000,1679.2,5,8396,22.960186004638672
psample_2000,97.0,1,97,37.012338638305664
psample_2000,8.6286743647427,240926,2078872,18.848896026611328
psample_2000,10.157215017553916,390796,3969399,15.683889389038086
psample_2000,13.416092400271765,412120,5529040,15.694141387939453
psample_2000,4599.0,1,4599,26.51238441467285
psample_2000,33.0,1,33,36.963462829589844
psample_2000,16.0,1,16,36.96632385253906
psample_2000,58.91227819118489,6988,411679,26.487350463867188
psample_2000,102.36956077630235,9790,1002198,33.38170051574707
psample_2000,17.0,1,17,37.012577056884766
psample_2000,1525.5,4,6102,26.138782501220703
psample_2000,59.60817060637204,3892,231995,23.13399314880371
psample_2000,3986.5,2,7973,26.510953903198242
psample_2000,40.0,1,40,36.499738693237305
psample_2000,9168.0,1,9168,30.105113983154297
psample_2000,9936.5,2,19873,26.53217315673828
psample_2000,33.0,1,33,19.24729347229004
psample_2000,5.3909116175653145,38793,7196,26.18694305419922
psample_2000,19.001994456963764,38607,733610,26.72600746154785
psample_2000,3207.75,4,12831,22.65763282775879
psample_2000,5.6361681511622646,729653,4112447,26.250600814819336
psample_2000,2347.0,4,9388,22.39513397216797
psample_2000,12.535263807242906,137790,1727234,27.355194091796875
psample_2000,124.14809960681521,1526,189450,33.507585525512695
psample_2000,24.0,1,24,19.42157745361328
psample_2000,3.3752232386922767,27437,92606,33.133506774902344
psample_2000,3374.0,1,3374,26.453018188476562
psample_2000,2.0022187146345822,134461,67156,15.795230865478516
psample_2000,11.95463024007461,124378,1486893,19.07944679260254
psample_2000,985.3678756476684,193,190176,26.091814041137695
psample_2000,11.071552022122365,185152,2049920,26.11565589904785
psample_2000,18.902485953975216,25986,491200,15.796184539794922
psample_2000,3.931459239482974,146453,575774,26.440143585205078
psample_2000,373.0,5,1865,19.28091049194336
psample_2000,125.0,1,125,36.98849678039551
psample_2000,1.2265518702741285,44833,54990,29.74247932434082
psample_2000,134.0,1,134,33.463478088378906
psample_2000,5640.941176470588,17,95896,33.58125686645508
psample_2000,12.285370347108822,47766,586823,26.349544525146484
psample_2000,3900.0,75,292500,18.880844116210938
psample_2000,15.783770883054892,6285,99201,33.10871124267578
psample_2000,14.27544889738513,29294,418185,33.64682197570801
psample_2000,4.878002116558605,216389,1055546,22.60613441467285
psample_2000,3.412769797260912,68709,234488,26.014089584350586
psample_2000,20.283966166574057,161970,3285394,30.169248580932617
psample_2000,249.18,100,24918,22.630691528320312
psample_2000,403.97062279670973,851,343779,18.895626068115234
psample_2000,68.91749868628482,1903,131150,35.15934944152832
psample_2000,3615.0,1,3615,30.00330924987793
psample_2000,1515.0,1,1515,36.93962097167969
psample_2000,6631.0,2,13262,33.19430351257324
psample_2000,3044.0,1,3044,33.4930419921875
psample_2000,245.11764705882354,34,8334,26.447057723999023
psample_2000,2.3142991549866143,2627414,6080622,18.889904022216797
psample_2000,392.3333333333333,3,1177,30.005693435668945
psample_2000,1426.0,1,1426,36.978960037231445
psample_2000,16.386103863834016,193176,3165402,19.432783126831055
psample_2000,10017.04347826087,23,230392,30.03716468811035
psample_2000,13.476080491046003,94818,1277775,26.514768600463867
psample_2000,44.47194719471947,606,26950,29.546260833740234
psample_2000,6.077141853690785,290426,1764960,15.694141387939453
psample_2000,47.13150289017341,4844,228305,29.968738555908203
psample_2000,174.0,1,174,37.0180606842041
psample_2000,25.0,1,25,37.0635986328125
psample_2000,2.560051282388939,1063133,2721675,18.86129379272461
psample_2000,43.86358063412409,70144,3076767,22.990942001342773
psample_2000,30915.4,5,154577,33.58793258666992
psample_2000,6.413426407374744,468301,3003414,15.933513641357422
psample_2000,21.0,1,21,37.23549842834473
psample_2000,4753.0,1,4753,33.42580795288086
psample_2000,83.52751706484642,4688,391577,33.53619575500488
psample_2000,237.0,1,237,33.484697341918945
psample_2000,4199.489361702128,47,197376,26.241779327392578
psample_2000,3195.5,6,19173,26.46493911743164
psample_2000,18.122224313135114,10628,192603,33.46443176269531
psample_2000,4.009039269692694,267942,1074190,19.219636917114258
psample_2000,600.0,1,600,29.989242553710938
psample_2000,14.736743605739239,3206,47246,36.96179389953613
psample_2000,6.251990598301885,151462,946939,26.406049728393555
psample_2000,4007.8333333333335,6,24047,33.505916595458984
psample_2000,37.14880991626558,15167,563436,19.476652145385742
psample_2000,206.72348630929426,2593,536034,33.44321250915527
psample_2000,235.1219512195122,41,9640,19.443988800048828
psample_2000,14567.307692307691,13,189375,29.764175415039062
psample_2000,3701.6666666666665,3,11105,33.123016357421875
psample_2000,2.0574801255681714,162143,333606,29.82020378112793
psample_2000,6.802601749613271,599904,4080908,19.36197280883789
psample_2000,62.0,1,62,36.97967529296875
