est,err,est_card,true_card,query_dur_ms
psample_2000,2.6139240506329116,4424,11564,62.89172172546387
psample_2000,3.493167509300773,83864,292951,62.25109100341797
psample_2000,12.87520403880235,2208561,171536,62.462568283081055
psample_2000,32.78463648834019,2187,71700,62.575340270996094
psample_2000,64.70387612093889,20407,1320412,62.70551681518555
psample_2000,1543.655172413793,29,44766,62.53981590270996
psample_2000,41.73457008542688,19783,825635,62.74867057800293
psample_2000,21.365831278316225,17437,372556,62.4997615814209
psample_2000,2.3043085917437724,625007,1440209,62.345266342163086
psample_2000,20.201916706105063,42260,853733,62.47448921203613
psample_2000,14.59277334435507,62906,917973,62.425851821899414
psample_2000,8.834262893341595,29046,256600,62.46495246887207
psample_2000,9.41823259691538,119950,1129717,62.41202354431152
psample_2000,3931.5333333333333,15,58973,62.72625923156738
psample_2000,189.0,1,189,62.40677833557129
psample_2000,4.990395292027538,36024,179774,62.340497970581055
psample_2000,10.112973322338362,89738,907518,62.288522720336914
psample_2000,786.5,8,6292,62.3323917388916
psample_2000,1688.0,1,1688,62.44659423828125
psample_2000,862.0,1,862,62.53623962402344
psample_2000,876.5053191489362,188,164783,62.471866607666016
psample_2000,24.08367198968814,223432,5381063,62.355756759643555
psample_2000,94.0,1,94,62.66522407531738
psample_2000,46.77562028047465,43361,927,62.560081481933594
psample_2000,1698.0,2,3396,62.34431266784668
psample_2000,2613.0,1,2613,62.96586990356445
psample_2000,214.0,1,214,62.879085540771484
psample_2000,4922.0,1,4922,62.24417686462402
psample_2000,13331.666666666666,3,39995,62.63470649719238
psample_2000,4.109682113504539,97582,401031,62.50929832458496
psample_2000,24.642579134088795,29033,715448,62.29686737060547
psample_2000,1434.0,1,1434,62.26372718811035
psample_2000,5.097688298215539,632348,3223513,62.43276596069336
psample_2000,559.0,1,559,62.62826919555664
psample_2000,4198.0,2,8396,62.35456466674805
psample_2000,97.0,1,97,62.64233589172363
psample_2000,8.639639190463726,240681,2079397,62.22820281982422
psample_2000,8.510763855395862,466515,3970399,62.27374076843262
psample_2000,12.546025436841221,440778,5530012,62.20674514770508
psample_2000,4599.0,1,4599,62.536001205444336
psample_2000,33.0,1,33,62.648773193359375
psample_2000,16.0,1,16,62.64019012451172
psample_2000,37.808797869409496,10889,411700,62.60037422180176
psample_2000,74.08500887049084,13528,1002222,62.5758171081543
psample_2000,17.0,1,17,62.685489654541016
psample_2000,6102.0,1,6102,62.30926513671875
psample_2000,47.48342202210397,4886,232004,62.40510940551758
psample_2000,7973.0,1,7973,62.91365623474121
psample_2000,40.0,1,40,62.510013580322266
psample_2000,9168.0,1,9168,62.79587745666504
psample_2000,19873.0,1,19873,62.50429153442383
psample_2000,33.0,1,33,62.25180625915527
psample_2000,4.839890710382513,35428,7320,62.418222427368164
psample_2000,14.71211148987367,49870,733693,62.48784065246582
psample_2000,4277.0,3,12831,62.3776912689209
psample_2000,4.842027776241322,849719,4114363,62.40344047546387
psample_2000,1877.6,5,9388,62.31808662414551
psample_2000,11.669174862206852,148048,1727598,62.33835220336914
psample_2000,101.47509373326191,1867,189454,62.62469291687012
psample_2000,24.0,1,24,62.49117851257324
psample_2000,2.5320549591630472,36609,92696,62.508583068847656
psample_2000,3374.0,1,3374,62.4544620513916
psample_2000,2.1092701994403233,142458,67539,62.287092208862305
psample_2000,14.892904711832157,99855,1487131,62.29519844055176
psample_2000,1302.5753424657535,146,190176,62.361955642700195
psample_2000,8.334407758624193,246023,2050456,62.42823600769043
psample_2000,14.74290258687954,33322,491263,62.26634979248047
psample_2000,4.9420121998301285,116559,576036,62.444210052490234
psample_2000,1865.0,1,1865,62.360525131225586
psample_2000,125.0,1,125,62.73841857910156
psample_2000,1.0476797019068078,52601,55109,62.50596046447754
psample_2000,134.0,1,134,62.55650520324707
psample_2000,7376.615384615385,13,95896,62.59942054748535
psample_2000,12.979323308270677,45220,586925,62.407493591308594
psample_2000,9435.483870967742,31,292500,62.2401237487793
psample_2000,11.303372066529962,8778,99221,62.53218650817871
psample_2000,13.273015772270002,31511,418246,62.98995018005371
psample_2000,5.33561536557146,197923,1056041,62.50452995300293
psample_2000,3.2672764227642275,71832,234695,62.39032745361328
psample_2000,18.496892556772764,177638,3285751,62.53457069396973
psample_2000,361.1304347826087,69,24918,62.33382225036621
psample_2000,742.5032397408207,463,343779,62.24656105041504
psample_2000,52.273017138302116,2509,131153,62.57271766662598
psample_2000,3615.0,1,3615,64.28790092468262
psample_2000,1515.0,1,1515,62.59584426879883
psample_2000,6631.0,2,13262,62.59870529174805
psample_2000,3044.0,1,3044,62.63995170593262
psample_2000,4167.0,2,8334,62.442779541015625
psample_2000,2.0548313156511764,2962723,6087896,62.21723556518555
psample_2000,1177.0,1,1177,62.55626678466797
psample_2000,1426.0,1,1426,62.709808349609375
psample_2000,14.533580924749348,217832,3165879,62.3476505279541
psample_2000,12125.894736842105,19,230392,62.543392181396484
psample_2000,9.615781633236528,132914,1278072,62.49642372131348
psample_2000,49.817005545286506,541,26951,62.454938888549805
psample_2000,6.332845526705619,278799,1765591,62.235355377197266
psample_2000,26.927585800212288,8479,228319,62.66188621520996
psample_2000,174.0,1,174,62.631845474243164
psample_2000,25.0,1,25,62.63589859008789
psample_2000,2.587873163392087,1052756,2724399,62.22963333129883
psample_2000,38.99837767272082,78899,3076933,62.401771545410156
psample_2000,38644.25,4,154577,62.57510185241699
psample_2000,6.340194938519877,473893,3004574,62.212228775024414
psample_2000,21.0,1,21,63.05050849914551
psample_2000,4753.0,1,4753,62.80636787414551
psample_2000,55.29469076532053,7082,391597,62.64925003051758
psample_2000,237.0,1,237,62.62564659118652
psample_2000,10965.333333333334,18,197376,62.415361404418945
psample_2000,2739.0,7,19173,62.50572204589844
psample_2000,14.9375,12896,192634,62.569379806518555
psample_2000,4.1005787800979006,262103,1074774,62.347412109375
psample_2000,600.0,1,600,62.45613098144531
psample_2000,12.996424642464246,3636,47255,62.68787384033203
psample_2000,5.002740594059406,189375,947394,62.463998794555664
psample_2000,2671.8888888888887,9,24047,62.55626678466797
psample_2000,28.063050948752426,20079,563478,62.31069564819336
psample_2000,165.3933970996606,3241,536040,62.673091888427734
psample_2000,9640.0,1,9640,62.36839294433594
psample_2000,13526.785714285714,14,189375,62.45923042297363
psample_2000,5552.5,2,11105,62.57438659667969
psample_2000,1.8043191737608573,185128,334030,62.60490417480469
psample_2000,6.317462086041473,646200,4082344,62.477827072143555
psample_2000,62.0,1,62,62.61777877807617
psample_2000,8.70585574173935,55262,481103,62.403202056884766
psample_2000,131.0,1,131,62.44659423828125
psample_2000,1.0,1,1,62.598228454589844
psample_2000,1138.0,1,1138,62.519073486328125
psample_2000,24395.4,5,121977,62.32166290283203
psample_2000,9.018030422239706,15252,137543,62.898874282836914
psample_2000,6663.333333333333,3,19990,62.616825103759766
psample_2000,27.339924670433145,3186,87105,62.721967697143555
psample_2000,5.050473738454988,251299,1269179,62.29805946350098
psample_2000,974.0,1,974,62.58106231689453
psample_2000,25.832838874680306,9775,252516,62.58082389831543
psample_2000,3.0221773689291735,399822,1208333,62.42179870605469
psample_2000,5.0,1,5,62.38293647766113
psample_2000,3032.057471264368,87,263789,62.35909461975098
psample_2000,22.26406394097756,74819,1665775,62.46805191040039
psample_2000,23.0,1,23,62.718868255615234
psample_2000,9.784904516520157,16495,161402,62.59441375732422
psample_2000,1.4775977121067683,3147,4650,62.357187271118164
psample_2000,26.3253161418299,4033,106170,62.63589859008789
psample_2000,17405.0,1,17405,62.61634826660156
psample_2000,7934.0,1,7934,62.52241134643555
psample_2000,21691.090909090908,11,238602,62.30306625366211
psample_2000,104.0,1,104,62.40057945251465
psample_2000,8.825440451021846,14190,125233,62.35623359680176
psample_2000,35.12640801001252,799,28066,62.940359115600586
psample_2000,3141.913043478261,23,72264,62.44206428527832
psample_2000,537.8301886792453,53,28505,62.296152114868164
psample_2000,4.0,1,4,62.61301040649414
psample_2000,35.453478385342116,3493,123839,62.621116638183594
