est,err,est_card,true_card,query_dur_ms
psample_2000,3.5095599393019725,3295,11564,62.72530555725098
psample_2000,4.399390289687486,66589,292951,62.11686134338379
psample_2000,14.062756505922955,2412269,171536,62.23893165588379
psample_2000,62.0242214532872,1156,71700,62.54911422729492
psample_2000,79.79284505680445,16548,1320412,62.95442581176758
psample_2000,1356.5454545454545,33,44766,62.24179267883301
psample_2000,78.48987546344709,10519,825635,62.67666816711426
psample_2000,35.06079427818558,10626,372556,62.41869926452637
psample_2000,2.384444091244731,604002,1440209,62.207937240600586
psample_2000,24.68506577996241,34585,853733,62.421321868896484
psample_2000,17.97339154951639,51074,917973,62.40272521972656
psample_2000,16.165816165816167,15873,256600,62.39485740661621
psample_2000,13.677126841729319,82599,1129717,62.31069564819336
psample_2000,3469.0,17,58973,62.30616569519043
psample_2000,189.0,1,189,62.47115135192871
psample_2000,4.639927732610659,38745,179774,62.36124038696289
psample_2000,15.181471444344073,59778,907518,62.23297119140625
psample_2000,699.1111111111111,9,6292,62.29734420776367
psample_2000,1688.0,1,1688,62.39581108093262
psample_2000,862.0,1,862,62.48831748962402
psample_2000,920.5754189944134,179,164783,62.463998794555664
psample_2000,33.9387897976689,158552,5381063,62.333106994628906
psample_2000,94.0,1,94,62.61587142944336
psample_2000,46.55987055016181,43161,927,62.53194808959961
psample_2000,1698.0,2,3396,62.316179275512695
psample_2000,2613.0,1,2613,62.66355514526367
psample_2000,214.0,1,214,62.8964900970459
psample_2000,4922.0,1,4922,62.2401237487793
psample_2000,13331.666666666666,3,39995,62.75057792663574
psample_2000,5.774883359253499,69444,401031,62.383174896240234
psample_2000,24.615448133493892,29065,715448,62.26325035095215
psample_2000,1434.0,1,1434,62.290191650390625
psample_2000,5.997903021732658,537440,3223513,62.40725517272949
psample_2000,559.0,1,559,62.55745887756348
psample_2000,4198.0,2,8396,62.37339973449707
psample_2000,97.0,1,97,62.634944915771484
psample_2000,11.238647295997232,185022,2079397,62.22820281982422
psample_2000,9.77487788785378,406184,3970399,62.2098445892334
psample_2000,15.479519772034475,357247,5530012,62.15381622314453
psample_2000,4599.0,1,4599,62.463998794555664
psample_2000,33.0,1,33,62.598228454589844
psample_2000,16.0,1,16,62.718868255615234
psample_2000,52.94495884773662,7776,411700,62.470436096191406
psample_2000,141.27741753594586,7094,1002222,62.66021728515625
psample_2000,17.0,1,17,62.63470649719238
psample_2000,6102.0,1,6102,62.32333183288574
psample_2000,48.3643944131749,4797,232004,62.34169006347656
psample_2000,7973.0,1,7973,62.477827072143555
psample_2000,40.0,1,40,62.476158142089844
psample_2000,9168.0,1,9168,62.690019607543945
psample_2000,4968.25,4,19873,62.72554397583008
psample_2000,33.0,1,33,62.19220161437988
psample_2000,6.218579234972678,45520,7320,62.58225440979004
psample_2000,14.609868774766523,50219,733693,63.474178314208984
psample_2000,1603.875,8,12831,62.33978271484375
psample_2000,5.968302897287229,689369,4114363,62.37220764160156
psample_2000,1877.6,5,9388,62.29543685913086
psample_2000,14.258814790359855,121160,1727598,62.346696853637695
