,loss
0,66.81400964615193
1,66.16080531668156
2,66.01291250675283
3,65.85360961264752
4,65.72802710025869
5,65.62599320107319
6,65.51969674293031
7,65.38358615307098
8,65.30669114944783
9,65.19446441975046
10,65.11239283135596
11,65.05157669554366
12,64.95409161993798
13,64.8733333425319
14,64.81961104210387
15,64.73171639949717
16,64.69456839054189
17,64.63292759022814
18,64.56962719369442
19,64.51659072713649
20,64.47542588254238
21,64.39769874735082
22,64.3647744199063
23,64.31981374862346
24,64.25953877225835
25,64.22644391972968
26,64.1789164847516
27,64.14265778724183
28,64.07874253455628
29,64.0551586151123
