,Dataset,Model,Mean,Median,$\alpha$
6,$DMV$,DARE(GAU),9.328,1.26,0.85
38,$DMV$,DARE(GAU),14.052,1.272,0.8
19,$DMV$,DARE(GAU),10.622,1.2770000000000001,0.75
8,$DMV$,DARE(transformer),79.318,2.151,0.8
87,$DMV$,DARE(transformer),47.665,2.3930000000000002,0.75
30,$DMV$,DARE(transformer),389.958,2.818,0.85
74,$DMV+D_i^{200000}$,DARE(GAU),26.579,1.137,0.8
15,$DMV+D_i^{200000}$,DARE(GAU),7.896,1.2309999999999999,0.85
97,$DMV+D_i^{200000}$,DARE(GAU),10.43,1.236,0.8
91,$DMV+D_i^{200000}$,DARE(GAU),12.157,1.262,0.75
65,$DMV+D_i^{200000}$,DARE(transformer),167.10299999999998,2.142,0.8
13,$DMV+D_i^{200000}$,DARE(transformer),102.124,2.169,0.8
59,$DMV+D_i^{200000}$,DARE(transformer),54.885,2.483,0.75
100,$DMV+D_i^{200000}$,DARE(transformer),413.671,2.827,0.85
