,alpha,beta,train_epoch,type,Dataset,Model,Mean,Median,95th,MAX,query_ms,group_size
0,0.5,0.2,2,distill,DMV_ofnan_2000dmv,DARE(transformer),1.583,1.185,8.217,8.217,27.009,
1,1.0,0.2,2,retrain,DMV_ofnan_2000dmv,DARE(transformer),1.572,1.187,7.875,7.875,24.793,
2,0.85,0.2,2,distill,DMV_ofnan_2000dmv,DARE(transformer),1.604,1.187,8.591,8.591,24.797,
3,0.8,0.2,2,distill,DMV_ofnan_2000dmv,DARE(transformer),1.529,1.191,7.000,7.000,25.013,
4,0.8,0.5,2,distill,DMV_ofnan_2000dmv,DARE(transformer),1.570,1.188,7.875,7.875,25.013,
5,1.0,0.2,2,retrain,DMV_ofnan_2000dmv,DARE(transformer),1.564,1.198,2.432,73.000,27.450,
6,1.0,0.2,2,retrain,DMV_ofnan_2000dmv,DARE(transformer),1.603,1.181,8.591,8.591,24.970,
7,,,2,finetune,DMV_ofnan_2000dmv,DARE(transformer),1.691,1.536,3.706,3.706,25.072,
8,0.8,0.2,2,distill,DMV_ofnan_2000dmv,DARE(GAU),1.280,1.140,1.928,1.928,62.531,128.0
9,0.8,0.2,2,distill,DMV_ofnan_2000dmv,DARE(GAU),1.419,1.208,4.500,4.500,123.077,2.0
10,,,2,finetune,DMV_ofnan_2000dmv,DARE(GAU),1.086,1.034,1.333,3.250,62.448,128.0
11,,,2,finetune,DMV_ofnan_2000dmv,DARE(transformer),1.973,1.471,3.281,111.936,27.213,
12,1.0,0.2,2,retrain,DMV_ofnan_2000dmv,DARE(transformer),1.564,1.198,2.432,73.000,27.450,
13,1.0,0.2,2,retrain,DMV_ofnan_2000dmv,DARE(GAU),3.358,1.278,10.500,216.250,62.465,
14,0.8,0.2,2,distill,DMV_ofnan_2000dmv,DARE(transformer),1.648,1.189,2.622,73.000,27.286,
15,0.8,0.2,2,distill,DMV_ofnan_2000dmv,DARE(GAU),4.529,1.284,15.182,903.000,62.371,
16,0.8,0.2,2,distill,DMV_ofnan,DARE(GAU),4.319,1.284,15.708,301.000,62.333,
