,Dataset,Model,Type,Train_len,Mean,Median,95th,MAX,queries,query_ms,alpha,mixup
0,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.962,1.529,4.475,11.909,200,27.425,,
1,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,2.506,1.822,6.227,32.750,200,27.242,0.8,True
2,DMV_ofnan,DARE(transformer),distill,2000.0,2.471,1.812,6.202,26.200,200,27.214,0.8,True
3,DMV_ofnan,DARE(transformer),distill,200000.0,21393.727,3.128,26950.000,2327646.000,200,27.160,0.8,True
4,DMV_ofnan,DARE(GAU),distill,2000.0,2.966,1.503,12.000,35.294,200,62.346,0.75,True
5,DMV_ofnan,DARE(transformer),distill,2000.0,2.456,1.720,6.574,26.200,200,27.295,0.8,True
6,DMV_ofnan,DARE(GAU),distill,200000.0,9.328,1.260,46.000,272.000,200,62.288,0.85,True
7,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.572,1.187,7.875,7.875,20,24.793,1.0,
8,DMV_ofnan,DARE(transformer),distill,200000.0,79.318,2.151,189.000,7196.000,200,27.278,0.8,True
9,DMV_ofnan,DARE(transformer),distill,2000.0,6.477,1.776,6.288,799.556,200,27.401,0.75,True
10,DMV_ofnan,DARE(GAU),distill,200000.0,11.857,1.331,52.750,600.000,200,62.244,0.75,True
11,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.529,1.191,7.000,7.000,20,25.013,0.8,
12,DMV_ofnan,DARE(transformer),distill,,2.427,1.870,5.500,26.200,200,27.438,,
13,DMV_ofnan_200000dmv,DARE(transformer),distill,200000.0,102.124,2.169,117.561,8440.000,200,27.387,,
14,DMV_ofnan,DARE(transformer),distill,,17697.972,1.834,1597.000,2327646.000,200,27.500,0.85,True
15,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,7.896,1.231,36.000,189.000,200,62.313,0.85,True
16,DMV_ofnan,DARE(transformer),distill,,388.059,1.736,799.600,26950.000,200,27.398,,
17,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,6.894,1.196,38.308,134.000,200,62.386,,
18,DMV_ofnan,DARE(GAU),distill,2000.0,3.169,1.598,13.043,58.000,200,62.432,0.85,True
19,DMV_ofnan,DARE(GAU),distill,200000.0,10.622,1.277,78.364,498.000,200,62.218,0.75,True
20,DMV_ofnan,DARE(GAU),distill,2000.0,4.060,1.664,13.836,87.000,200,62.372,0.8,True
21,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,9.529,1.278,37.122,600.000,200,62.368,0.85,True
22,DMV_ofnan_2000dmv,DARE(GAU),distill,2000.0,4.448,1.597,17.000,125.000,200,62.373,0.8,True
23,DMV_ofnan_20000dmv,DARE(transformer),distill,20000.0,53940.244,1.890,9142.681,4354553.000,200,27.440,0.85,True
24,DMV_ofnan,DARE(transformer),distill,20000.0,17717.766,2.021,3040.000,2327646.000,200,27.203,0.75,True
25,DMV_ofnan,DARE(transformer),distill,200000.0,4939.727,4.000,19990.000,366656.500,200,27.300,0.85,True
26,DMV_ofnan,DARE(GAU),distill,20000.0,7.388,1.271,33.000,421.600,200,62.260,0.8,True
27,DMV_ofnan_20000dmv,DARE(GAU),distill,20000.0,14.520,1.135,40.000,932.500,200,62.416,,
28,DMV_ofnan_200000dmv,DARE(GAU),distill,200000.0,11.906,1.279,97.000,194.800,200,62.205,0.85,True
29,DMV_ofnan_2000dmv,DARE(transformer),distill,2000.0,1.604,1.187,8.591,8.591,20,24.797,0.85,
