,Dataset,Model,queries,Mean,Median,95th,MAX,query_ms,type
0,DMV_ofnan_2000dmv,DARE(transformer),200,1.962,1.529,4.475,11.909,27.425,distill
1,DMV_ofnan,DARE(transformer),200,99.015,2.331,123.590,7196.000,27.445,distill
2,DMV_ofnan_200000dmv,DARE(transformer),200,102.124,2.169,117.561,8440.000,27.387,distill
3,DMV_ofnan,DARE(transformer),200,388.059,1.736,799.600,26950.000,27.398,distill
4,DMV_ofnan_20000dmv,DARE(GAU),200,6.894,1.196,38.308,134.000,62.386,distill
5,DMV_ofnan_20000dmv,DARE(GAU),200,14.520,1.135,40.000,932.500,62.416,distill
6,DMV_ofnan_20000dmv,DARE(transformer),200,54188.853,2.005,6102.000,4354553.000,27.374,distill
7,DMV_ofnan_2000dmv,DARE(GAU),200,3.359,1.332,12.500,87.000,62.454,distill
8,DMV_ofnan,DARE(GAU),2000,4.319,1.284,15.708,301.000,62.333,distill
9,DMV_ofnan_2000dmv,DARE(transformer),2000,1.648,1.189,2.622,73.000,27.286,distill
10,DMV_ofnan,DARE(GAU),200,22.645,1.171,62.000,2261.000,62.238,distill
11,DMV_ofnan_200000dmv,DARE(GAU),200,26.579,1.137,62.000,2202.000,62.276,distill
12,DMV_ofnan_2000dmv,DARE(GAU),2000,4.529,1.284,15.182,903.000,62.371,distill
13,DMV_ofnan,DARE(GAU),20,1.769,1.233,10.500,10.500,62.335,distill
14,DMV_ofnan_2000dmv,DARE(GAU),20,1.786,1.205,11.118,11.118,62.477,distill
15,DMV_ofnan_20000dmv,DARE(transformer),200,388.831,1.714,1259.269,26951.000,27.513,distill
16,DMV_ofnan_2000dmv,DARE(transformer),200,1.821,1.536,3.552,9.877,27.445,finetune
17,DMV_ofnan,DARE(transformer),200,2930.256,60.270,7934.000,255555.000,27.577,finetune
18,DMV_ofnan_200000dmv,DARE(transformer),200,2788.924,48.770,7934.000,256101.600,27.574,finetune
19,DMV_ofnan,DARE(transformer),200,66.545,11.500,164.083,3194.000,27.458,finetune
20,DMV_ofnan_20000dmv,DARE(GAU),200,7.661,1.152,6.629,1064.667,62.407,finetune
21,DMV_ofnan_20000dmv,DARE(GAU),200,74.269,1.400,25.000,8702.500,62.540,finetune
22,DMV_ofnan_20000dmv,DARE(transformer),200,40.287,9.162,128.655,1205.000,27.502,finetune
23,DMV_ofnan_2000dmv,DARE(transformer),20,1.691,1.536,3.706,3.706,25.072,finetune
24,DMV_ofnan_2000dmv,DARE(GAU),2000,1.086,1.034,1.333,3.250,62.448,finetune
25,DMV_ofnan_2000dmv,DARE(transformer),2000,1.973,1.471,3.281,111.936,27.213,finetune
26,DMV_ofnan,DARE(GAU),200,82.929,1.464,25.000,8702.500,62.523,finetune
27,DMV_ofnan_200000dmv,DARE(GAU),200,74.678,1.441,26.762,8702.500,62.507,finetune
28,DMV_ofnan,DARE(GAU),200,82.577,1.455,24.880,8702.500,62.618,finetune
29,DMV_ofnan_2000dmv,DARE(GAU),200,1.062,1.029,1.230,1.800,62.422,finetune
30,DMV_ofnan_20000dmv,DARE(transformer),200,69.111,11.500,122.077,3194.000,27.497,finetune
31,DMV_ofnan_2000dmv,DARE(transformer),200,97.777,14.851,272.000,3615.000,27.412,retrain
32,DMV_ofnan,DARE(transformer),200,7246.613,66.931,39995.000,154577.000,27.338,retrain
33,DMV_ofnan_200000dmv,DARE(transformer),200,6004.753,43.059,39995.000,154577.000,27.321,retrain
34,DMV_ofnan,DARE(transformer),200,97.767,15.108,272.000,3615.000,27.364,retrain
35,DMV_ofnan_20000dmv,DARE(GAU),200,2475.535,46.560,13262.000,57062.000,62.455,retrain
36,DMV_ofnan_20000dmv,DARE(GAU),200,2345.824,36.000,12125.895,57062.000,62.504,retrain
37,DMV_ofnan_2000dmv,DARE(transformer),2000,1.564,1.198,2.432,73.000,27.450,retrain
38,DMV_ofnan_20000dmv,DARE(transformer),200,1614.410,43.697,9995.000,30915.400,27.288,retrain
39,DMV_ofnan_2000dmv,DARE(GAU),2000,3.358,1.278,10.500,216.250,62.465,retrain
40,DMV_ofnan,DARE(GAU),200,2966.410,62.539,17405.000,40309.000,62.468,retrain
41,DMV_ofnan_200000dmv,DARE(GAU),200,2572.857,39.603,13699.429,57062.000,62.509,retrain
42,DMV_ofnan,DARE(GAU),200,1653.433,84.137,11041.000,79534.000,62.492,retrain
43,DMV_ofnan_2000dmv,DARE(GAU),200,1649.300,83.913,11041.000,79534.000,62.454,retrain
44,DMV_ofnan_20000dmv,DARE(transformer),200,2266.174,43.967,13436.333,57062.000,27.367,retrain
